|                           Parameters |                      0 |                       1 |   2 |                      3 |                       4 |   5 |   6 |   7 |   8 |                       9 |                      10 |                      11 |                      12 |                      13 |                      14 |                      15 |                      16 |                      17 |                      18 |                      19 |                      20 |                      21 |                      22 |                      23 |                      24 |                      25 |                      26 |                      27 |                      28 |  29 |  30 |  31 |                      32 |  33 |                      34 |                      35 |  36 |
|              A0YDlNFM.spectral.index |   0.005111360035756926 |  1.3912331771069827e-15 | 0.0 | 7.2194051785322685e-06 |  3.1553765889240724e-06 | 0.0 | 0.0 | 0.0 | 0.0 |   4.367982699840314e-06 |   9.063530526918807e-07 |  -5.908220731495542e-06 |  -4.653333465314752e-06 |  -3.829113416740028e-06 |  -5.757371113496726e-06 |  -3.450599634341908e-06 |  -6.263609782972322e-08 |   1.462219985942015e-06 |  3.5180289768739005e-06 |   5.590269874776796e-06 |  6.7622701053955025e-06 |   7.976734077787568e-06 |   9.101279517755423e-06 |   9.510712621568069e-06 |  1.0054467040457492e-05 |  1.2126446091177285e-05 |  1.4508156363805691e-05 |    1.31736298828611e-05 |   6.664920170548577e-06 | 0.0 | 0.0 | 0.0 |    0.002458132984930304 | 0.0 |  -0.0001239814849820907 |  -0.0003481125066321231 | 0.0 |
|          A0YDlNFM.spectral.amplitude | 1.3912331771069827e-15 |    1.50519104427716e-26 | 0.0 | -8.184775418852541e-18 | -3.1636148380553956e-18 | 0.0 | 0.0 | 0.0 | 0.0 | -2.6425817136512676e-18 | -5.3830936986402215e-18 |  -6.757692076031261e-18 |  -7.442683154480923e-18 |  -7.110768378547847e-18 |  -6.556044221953712e-18 |  -6.186659748177676e-18 |  -5.266440786715775e-18 | -4.1134168200075965e-18 | -3.1359496184707557e-18 |  -2.150088115131034e-18 | -1.2928970411555017e-18 |  -6.862027740823433e-19 | -1.6472478448829028e-19 |  2.2030019962615086e-19 |   2.900375182815719e-19 |   2.818477828467558e-19 |   6.477253026004957e-19 |  1.2220650856767132e-18 |  1.3012163510738331e-18 | 0.0 | 0.0 | 0.0 |    3.67469237314986e-16 | 0.0 | -1.2177917834094183e-14 |   2.188358154481276e-17 | 0.0 |
|          A0YDlNFM.spectral.reference |                    0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|               A0YDlNFM.spatial.lon_0 | 7.2194051785322685e-06 |  -8.184775418852541e-18 | 0.0 |   7.01236596725946e-06 |  2.1220177279791504e-08 | 0.0 | 0.0 | 0.0 | 0.0 |   2.607368007525238e-08 |  2.9031606735767495e-08 |  1.6619544236752693e-08 |  2.6183410747968674e-08 |   2.842013990596394e-08 |     2.1298717871083e-08 |  2.9646837608479004e-08 |   3.868002469449321e-08 |   3.993114732083614e-08 |   4.405451933778442e-08 |   4.846362030773242e-08 |   5.114888415264741e-08 |  5.8556067336229765e-08 |   6.756807926263617e-08 |   7.717412265562929e-08 |  1.1152824148408113e-07 |  1.7747088336494194e-07 |  2.1234998220572155e-07 |  1.5380052404015604e-07 |   3.994294537276988e-08 | 0.0 | 0.0 | 0.0 |   5.685014367040173e-06 | 0.0 |   7.012339559072346e-07 |   5.504652499146304e-08 | 0.0 |
|               A0YDlNFM.spatial.lat_0 | 3.1553765889240724e-06 | -3.1636148380553956e-18 | 0.0 | 2.1220177279791504e-08 |   5.205491407304351e-06 | 0.0 | 0.0 | 0.0 | 0.0 |  1.1010899247446957e-08 |   1.194010369731604e-08 |   6.259975743666365e-09 |   1.013833013429242e-08 |  1.1009499627482874e-08 |   7.832512609595781e-09 |  1.1159174959239443e-08 |  1.4769635090242623e-08 |   1.516063579657416e-08 |  1.6846308352636253e-08 |   1.871906389993537e-08 |  1.9986068328253636e-08 |  2.3223844450901366e-08 |  2.7086396264469966e-08 |  3.1474616750320855e-08 |   4.634716946068559e-08 |   7.373954305147922e-08 |    8.71848517404513e-08 |   6.141310619655475e-08 |  1.3310425443789538e-08 | 0.0 | 0.0 | 0.0 |  2.4994824157496773e-06 | 0.0 |   5.230856633239952e-07 |  2.6516882413245627e-08 | 0.0 |
|          cNxWY3XO-bkg.spectral.norm0 |                    0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|          cNxWY3XO-bkg.spectral.norm1 |                    0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|          cNxWY3XO-bkg.spectral.norm2 |                    0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|          cNxWY3XO-bkg.spectral.norm3 |                    0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|          cNxWY3XO-bkg.spectral.norm4 |  4.367982699840314e-06 | -2.6425817136512676e-18 | 0.0 |  2.607368007525238e-08 |  1.1010899247446957e-08 | 0.0 | 0.0 | 0.0 | 0.0 |  1.0988551693633176e-05 |   5.124215280450442e-06 |  -3.580644362880952e-06 |  1.0941966935113248e-06 |   7.251412828383941e-07 | -1.2695980914591775e-06 |   8.924351600161562e-07 |   4.108407068149342e-09 |  -5.945375691031292e-07 |   4.935523293440922e-07 |  -4.966706921850998e-08 | -2.9406459975859634e-07 |   2.552789909561891e-07 |  1.3560647560378558e-08 |   -1.91145814736024e-07 |   1.033847143759493e-07 |   9.893594591969053e-08 |  -1.057338489533716e-07 |  -4.761892669609339e-08 |   8.683852409750764e-08 | 0.0 | 0.0 | 0.0 |   6.966543212357598e-06 | 0.0 |  2.3059307702728899e-07 |     3.9171597644159e-08 | 0.0 |
