|                           Parameters |                       0 |                       1 |   2 |                       3 |                       4 |   5 |   6 |   7 |   8 |                       9 |                      10 |                      11 |                      12 |                      13 |                      14 |                      15 |                      16 |                      17 |                      18 |                      19 |                      20 |                      21 |                      22 |                      23 |                      24 |                      25 |                      26 |                      27 |                      28 |                      29 |                      30 |  31 |                      32 |  33 |                      34 |                      35 |  36 |
|              91CC9yfm.spectral.index |    0.005111707857249152 |  1.3909835777467775e-15 | 0.0 |  7.2340339443982995e-06 |   3.161408888329828e-06 | 0.0 | 0.0 | 0.0 | 0.0 |  3.3784027618699714e-07 | -3.8995165098884784e-06 |  -7.930827985153048e-06 |  -5.443469613105339e-06 |  -3.143582104200027e-06 | -3.0146405341085746e-06 |   6.527994321575643e-07 |   5.749633906802368e-06 |   9.096964815335866e-06 |  1.2651665497494863e-05 |  1.6437207886453744e-05 |   1.935055977540956e-05 |  2.2149243702517524e-05 |  2.4968685341123498e-05 |   2.709376005490924e-05 |  2.9237370866427837e-05 |  3.2996512164735705e-05 |    3.70520558076257e-05 |  3.6341178551463873e-05 |  2.7961248629270836e-05 | -5.2201168128477156e-08 |   5.782410634797002e-06 | 0.0 |   0.0024586813564787253 | 0.0 |  -0.0001238889843236129 |   -0.000348109366314701 | 0.0 |
|          91CC9yfm.spectral.amplitude |  1.3909835777467775e-15 |   1.505209812559476e-26 | 0.0 |  -8.198577199356525e-18 | -3.1692999246830626e-18 | 0.0 | 0.0 | 0.0 | 0.0 |   5.460261976170239e-20 |  -2.408074751016963e-18 | -6.0164652368362934e-18 |  -7.833877072707487e-18 |  -8.814979094469251e-18 |  -9.978700369081115e-18 | -1.0837134344239793e-17 |  -1.139336967240604e-17 | -1.1794382403591482e-17 | -1.2143842243431149e-17 | -1.2637769455713513e-17 | -1.3278538550480842e-17 | -1.4059235839985316e-17 |  -1.500579830840218e-17 | -1.6100278713302167e-17 |  -1.742281241099361e-17 |  -1.889736890863708e-17 | -1.9973855770288744e-17 | -1.9895564429529182e-17 | -1.8065116454424464e-17 |   1.131846533010091e-18 |  -5.015165369905053e-18 | 0.0 |   3.670747994109863e-16 | 0.0 | -1.2178003693606987e-14 |  2.1881322371381012e-17 | 0.0 |
|          91CC9yfm.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|               91CC9yfm.spatial.lon_0 |  7.2340339443982995e-06 |  -8.198577199356525e-18 | 0.0 |  7.0142553085807554e-06 |   2.199687361514437e-08 | 0.0 | 0.0 | 0.0 | 0.0 |  -6.828070478163161e-08 |   9.572315698630026e-09 |  2.0541687174709116e-07 |   3.624437704325368e-07 |   5.247150972419838e-07 |   6.975042710122659e-07 |   8.600191311128172e-07 |  1.0373868865183838e-06 |   1.210231020972646e-06 |   1.374303158360053e-06 |  1.5472929490827997e-06 |  1.7189837887162348e-06 |   1.889632463113945e-06 |   2.067013876052621e-06 |   2.244542227069787e-06 |   2.440350183910177e-06 |  2.6758316696100004e-06 |   2.874121788028197e-06 |  2.8605090235273722e-06 |  2.5104315203759947e-06 | -4.2420186252066536e-07 |   5.770065202538519e-07 | 0.0 |   5.708433563500634e-06 | 0.0 |   7.126361832163335e-07 |  5.5180782919148154e-08 | 0.0 |
|               91CC9yfm.spatial.lat_0 |   3.161408888329828e-06 | -3.1692999246830626e-18 | 0.0 |   2.199687361514437e-08 |    5.20581070374333e-06 | 0.0 | 0.0 | 0.0 | 0.0 |   -2.80379236905431e-08 |   3.573227342386913e-09 |   8.359845698885077e-08 |   1.481050922570312e-07 |  2.1478414193552635e-07 |   2.856196724204431e-07 |   3.523364871819225e-07 |   4.251802220925113e-07 |   4.961509957460459e-07 |   5.636111481466414e-07 |   6.348185566544782e-07 |   7.055968355542206e-07 |   7.759674311197427e-07 |   8.490764533614223e-07 |    9.22529256882301e-07 |  1.0038020617787009e-06 |  1.1009203317929218e-06 |  1.1815751186903261e-06 |  1.1742983184873717e-06 |  1.0290837812923455e-06 | -1.7413169693707056e-07 |   2.373074841632927e-07 | 0.0 |  2.5091388588483225e-06 | 0.0 |   5.277733798683157e-07 |  2.6572240750057834e-08 | 0.0 |
|          afEs0-lr-bkg.spectral.norm0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|          afEs0-lr-bkg.spectral.norm1 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|          afEs0-lr-bkg.spectral.norm2 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|          afEs0-lr-bkg.spectral.norm3 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|          afEs0-lr-bkg.spectral.norm4 |  3.3784027618699714e-07 |   5.460261976170239e-20 | 0.0 |  -6.828070478163161e-08 |   -2.80379236905431e-08 | 0.0 | 0.0 | 0.0 | 0.0 |    6.21172543652466e-05 |   7.158279316558519e-05 |   3.600769890223288e-05 |   3.204231683716198e-05 |  2.0353368764935254e-05 |   3.037367134744406e-08 |  -7.855835304490643e-06 | -2.2855092337381973e-05 | -3.8970599181785054e-05 |  -4.953416998629043e-05 |  -6.423612976960293e-05 |  -7.900880171544155e-05 |  -9.111726165425043e-05 | -0.00010527126694282618 | -0.00011970646522418542 | -0.00013239514026301268 | -0.00014613410431192774 | -0.00016024721046129322 | -0.00016631184177978855 | -0.00015378655106055076 |  -2.428545174870666e-05 | -4.7311402655590106e-05 | 0.0 |   6.336411137748136e-07 | 0.0 |  -3.981416835620977e-07 |   2.914003924869398e-09 | 0.0 |
