|                           Parameters |                       0 |                       1 |   2 |                       3 |                       4 |   5 |   6 |   7 |   8 |                       9 |                      10 |                      11 |                      12 |                      13 |                      14 |                      15 |                      16 |                      17 |                      18 |                      19 |                      20 |                      21 |                      22 |                      23 |                      24 |                      25 |                      26 |                      27 |                      28 |  29 |  30 |  31 |                      32 |  33 |                      34 |                      35 |  36 |
|          rtyw6wop-bkg.spectral.norm5 |  -0.0001877297853396417 |  -2.410978738017992e-16 | 0.0 |  1.1356774013395936e-06 |  1.6355244533282922e-07 | 0.0 | 0.0 | 0.0 | 0.0 |  0.00020220124816117902 |  0.00038361635166242046 |  0.00020934341432449221 | -4.9910485337252024e-05 |  -5.022765589740624e-05 |   3.715511349984702e-05 |  1.4304756193063288e-05 | -2.3217924749732557e-05 | -3.6301652249838945e-06 |  1.2397944351709194e-05 |   7.104615177932607e-07 |  -6.619440423879947e-06 |  -9.134268866624103e-07 |  2.9685448114117297e-06 |   7.527160175801232e-07 | -1.5605110909635895e-06 | -1.2960768971267808e-06 |  -2.305862015914422e-07 |  1.7288392571810812e-07 |   4.916113058226255e-08 | 0.0 | 0.0 | 0.0 |   6.356800535791278e-06 | 0.0 |   6.994186384752713e-07 |  -8.732758246989443e-08 | 0.0 |
|          rtyw6wop-bkg.spectral.norm6 | -0.00019544835338870532 | -2.9926385084375024e-16 | 0.0 |  1.5031299182176726e-06 |  2.1442955415209487e-07 | 0.0 | 0.0 | 0.0 | 0.0 |  1.1594689846707762e-05 |  0.00020934341432449221 |   0.0004200169559205991 |  0.00026750078785448195 | -3.4587149918685965e-05 |  -6.945336354148653e-05 |  3.8031820465427676e-05 |   2.988959047374019e-05 | -2.3493014909472315e-05 | -1.2281554627178321e-05 |  1.3024171392161933e-05 |   5.872872911603117e-06 |  -6.651780394022502e-06 |  -3.987990219467687e-06 |   2.416421371358228e-06 |   2.611693661537795e-06 |  -2.384297776699465e-07 | -1.5037610473627018e-06 | -1.0114455928801136e-06 | -2.7753683640832244e-07 | 0.0 | 0.0 | 0.0 |   5.506776261852756e-07 | 0.0 |   8.117144476924558e-07 | -1.0016886432544776e-07 | 0.0 |
|          rtyw6wop-bkg.spectral.norm7 | -0.00013274767407317194 |  -2.878653618530237e-16 | 0.0 |  1.6848076943293799e-06 |  2.4069433692388406e-07 | 0.0 | 0.0 | 0.0 | 0.0 |  -7.225269797277812e-05 | -4.9910485337252024e-05 |  0.00026750078785448195 |   0.0005203957326355329 |   0.0002957591926594339 |  -5.972274808399214e-05 |   -8.36406821991752e-05 |   4.430331513443731e-05 |  3.5997445412501466e-05 | -2.5592613432684875e-05 | -1.6016976402739826e-05 |  1.3724838772334093e-05 |   8.901895267728976e-06 |  -5.999566725176154e-06 |   -5.78041153206915e-06 |  1.2648413891964755e-06 |   3.341006515529739e-06 |  1.1239949027621106e-06 |  -7.844311988269315e-07 | -1.0341160124109821e-06 | 0.0 | 0.0 | 0.0 |  -4.558780175447884e-06 | 0.0 |   7.369231923296746e-07 |    -8.1987620244758e-08 | 0.0 |
|          rtyw6wop-bkg.spectral.norm8 |  -7.581307831416699e-05 |  -2.742481600656494e-16 | 0.0 |  1.9340070460659796e-06 |      2.795644534519e-07 | 0.0 | 0.0 | 0.0 | 0.0 |  1.1253551123076502e-05 |  -5.022765589740624e-05 | -3.4587149918685965e-05 |   0.0002957591926594339 |   0.0005791943594842752 |   0.0003421014044987764 |  -6.464912478204972e-05 | -0.00010938031625704559 |  4.1652160673869595e-05 |   4.942654687498151e-05 |  -2.340548904318135e-05 | -2.4266789170008904e-05 |  1.1367919801932341e-05 |  1.4093168429391865e-05 |  -2.763388101670976e-06 |  -7.858496562475232e-06 |  -1.852902570855745e-06 |   2.690738178631247e-06 |  2.4752491335056205e-06 |   7.326490448936026e-07 | 0.0 | 0.0 | 0.0 |  -5.503171129135253e-06 | 0.0 |   7.089269104319651e-07 |  -6.220662669280191e-08 | 0.0 |
|          rtyw6wop-bkg.spectral.norm9 |   -1.93711804673565e-05 |  -2.575577236525249e-16 | 0.0 |   2.282575456709822e-06 |  3.3365526985714877e-07 | 0.0 | 0.0 | 0.0 | 0.0 |    2.96265812970989e-05 |   3.715511349984702e-05 |  -6.945336354148653e-05 |  -5.972274808399214e-05 |   0.0003421014044987764 |   0.0007030874825726379 |   0.0004524076280663247 |  -4.446061140595692e-05 |  -0.0001433816000363851 |  3.0579901242539066e-05 |   6.792613876058775e-05 |  -1.528912088210436e-05 |  -3.482503431344378e-05 |   4.254754372498961e-06 |   1.929320639909883e-05 |   4.295191410930022e-06 |  -7.215603488437201e-06 |  -5.460842510303403e-06 | -1.5156960097600732e-07 |  2.0473888361126455e-06 | 0.0 | 0.0 | 0.0 |  -6.445361556773707e-06 | 0.0 |   7.077255463996012e-07 | -4.0759853036758787e-08 | 0.0 |
|         rtyw6wop-bkg.spectral.norm10 |   5.324423179689278e-05 | -2.3049770645597973e-16 | 0.0 |  2.7770123265396132e-06 |  4.0844954320048663e-07 | 0.0 | 0.0 | 0.0 | 0.0 |  -1.612576285538495e-05 |  1.4304756193063288e-05 |  3.8031820465427676e-05 |   -8.36406821991752e-05 |  -6.464912478204972e-05 |   0.0004524076280663247 |   0.0009267572877980634 |   0.0006234419916431553 | -2.8894893916925045e-05 | -0.00019746718665021438 |  1.9538016246607234e-05 |   9.638388316538008e-05 | -3.3705856513366135e-06 | -4.8866367624156054e-05 |  -7.625278532315964e-06 |   2.328909014341276e-05 |  1.4306430761987732e-05 | -2.5886633563107624e-06 |  -7.267696238254221e-06 |   -3.92560355808804e-06 | 0.0 | 0.0 | 0.0 |  -6.987633124950233e-06 | 0.0 |   6.945420498016396e-07 | -1.2611842060569592e-08 | 0.0 |
|         rtyw6wop-bkg.spectral.norm11 |   0.0001233372471170638 | -2.0359783931727746e-16 | 0.0 |  3.3914017310365917e-06 |    5.00633497936875e-07 | 0.0 | 0.0 | 0.0 | 0.0 | -1.2936361736846789e-05 | -2.3217924749732557e-05 |   2.988959047374019e-05 |   4.430331513443731e-05 | -0.00010938031625704559 |  -4.446061140595692e-05 |   0.0006234419916431553 |   0.0011991474956989507 |   0.0008126705928412545 | -1.2596660871374331e-05 |  -0.0002590563815016157 |   5.689905788612142e-07 |  0.00012707001629669925 |   1.797765724557281e-05 |  -6.008732600546117e-05 | -2.7061043245878325e-05 |  1.8815374238696888e-05 |  2.3031151718120923e-05 |   6.839313519063642e-06 |  -3.563838923889754e-06 | 0.0 | 0.0 | 0.0 |  -5.124093442084438e-06 | 0.0 |     7.0682699260916e-07 |  1.6402977759173503e-08 | 0.0 |
|         rtyw6wop-bkg.spectral.norm12 |  0.00017814392234692528 | -1.7359821122915083e-16 | 0.0 |  4.0617817153377456e-06 |   6.046175714381079e-07 | 0.0 | 0.0 | 0.0 | 0.0 |  1.0673561582624065e-05 | -3.6301652249838945e-06 | -2.3493014909472315e-05 |  3.5997445412501466e-05 |  4.1652160673869595e-05 |  -0.0001433816000363851 | -2.8894893916925045e-05 |   0.0008126705928412545 |   0.0015186180766975034 |   0.0010510510449187797 |  2.0311392747239142e-05 | -0.00033829967377536105 | -3.8232093723699966e-05 |  0.00016046982839793152 |   5.639695680123083e-05 |  -6.218953523957198e-05 |  -5.326085129069415e-05 |  1.2199340591081919e-06 |  2.3833615492205366e-05 |  1.6638199857745302e-05 | 0.0 | 0.0 | 0.0 | -2.7851752425733437e-06 | 0.0 |   7.590671874653298e-07 |   4.279087254552874e-08 | 0.0 |
|         rtyw6wop-bkg.spectral.norm13 |  0.00022141623953381547 | -1.3726581288481946e-16 | 0.0 |    4.88848542047581e-06 |    7.40205625796335e-07 | 0.0 | 0.0 | 0.0 | 0.0 |   5.305323063524171e-06 |  1.2397944351709194e-05 | -1.2281554627178321e-05 | -2.5592613432684875e-05 |   4.942654687498151e-05 |  3.0579901242539066e-05 | -0.00019746718665021438 | -1.2596660871374331e-05 |   0.0010510510449187797 |   0.0019295181271851542 |    0.001377369532526001 |   8.739528227026845e-05 |  -0.0004404880761718448 | -0.00011130855057911225 |  0.00018988758571945587 |  0.00011947702107149312 |   -4.00668183482249e-05 |  -7.536126713019391e-05 | -2.9346823015746076e-05 |   8.083508312271178e-06 | 0.0 | 0.0 | 0.0 | -1.4967250034052165e-06 | 0.0 |   8.609840896674924e-07 |   6.641952061751537e-08 | 0.0 |
|         rtyw6wop-bkg.spectral.norm14 |   0.0002549696710708543 |  -1.042605712033593e-16 | 0.0 |   5.945552853659527e-06 |    9.19059224921087e-07 | 0.0 | 0.0 | 0.0 | 0.0 |  -5.997581607113665e-06 |   7.104615177932607e-07 |  1.3024171392161933e-05 | -1.6016976402739826e-05 |  -2.340548904318135e-05 |   6.792613876058775e-05 |  1.9538016246607234e-05 |  -0.0002590563815016157 |  2.0311392747239142e-05 |    0.001377369532526001 |   0.0024968560183099625 |   0.0018537869468268648 |  0.00021831440475203245 |  -0.0005715224826141739 | -0.00024224448930093182 |  0.00019581972188159483 |  0.00020530851014326684 |  2.1324699828755477e-05 |  -7.293811037536756e-05 | -5.9022041407945634e-05 | 0.0 | 0.0 | 0.0 | -2.9512768290137157e-07 | 0.0 |   1.025804783476419e-06 |    8.60075706211548e-08 | 0.0 |
