|                           Parameters |                       0 |                       1 |   2 |                       3 |                       4 |   5 |   6 |   7 |   8 |                       9 |                      10 |                      11 |                      12 |                      13 |                      14 |                      15 |                      16 |                      17 |                      18 |                      19 |                      20 |                      21 |                      22 |                      23 |                      24 |                      25 |                      26 |                      27 |                      28 |  29 |  30 |  31 |                      32 |  33 |                      34 |                      35 |  36 |
|              QCRFmgSl.spectral.index |    0.008687117861699714 |  2.5683205300671437e-15 | 0.0 |   6.626008703877965e-06 |   2.677393126169933e-07 | 0.0 | 0.0 | 0.0 | 0.0 |  3.4379263778262366e-06 | -1.8735404289349165e-06 | -1.0704650713974975e-05 |  -9.241101486720562e-06 |  -6.726440723708079e-06 |   -8.09464418308598e-06 | -4.4425714727002314e-06 |   1.835829952942018e-06 |   5.146150092409102e-06 |   8.282206396494362e-06 |  1.1957835420827051e-05 |  1.4194198904891579e-05 |  1.5909057784034274e-05 |   1.767485552899881e-05 |  1.8456922453468703e-05 |  1.9332671763027973e-05 |  2.2559818399282085e-05 |   2.638305677755935e-05 |   2.538702805539893e-05 |  1.7579329712120483e-05 | 0.0 | 0.0 | 0.0 |      0.0042349807155847 | 0.0 |  -0.0001339821255065375 | -0.00035040381979435333 | 0.0 |
|          QCRFmgSl.spectral.amplitude |  2.5683205300671437e-15 |  1.7213057578854016e-26 | 0.0 | -1.1228608736065863e-17 |   2.538503658522652e-19 | 0.0 | 0.0 | 0.0 | 0.0 |  -5.837975132380301e-18 | -1.1687997959812562e-17 | -1.3780515676868065e-17 | -1.4937024671593417e-17 |  -1.449659055546115e-17 |  -1.294913704431844e-17 | -1.2136765516618302e-17 | -1.0699234038575933e-17 |  -8.322108772268887e-18 | -6.3295337845530916e-18 |  -4.627333812456675e-18 | -2.9837166262334336e-18 |  -1.781456975417743e-18 | -1.0489404574159503e-18 |  -7.366946038288601e-19 |  -6.922103322050064e-19 | -2.4507555165597666e-19 |   8.836571008637526e-19 |  1.8878997426694707e-18 |  1.9328143689289106e-18 | 0.0 | 0.0 | 0.0 |   5.846237599946975e-16 | 0.0 | -1.1354347749751558e-14 |   2.512551740993105e-17 | 0.0 |
|          QCRFmgSl.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|               QCRFmgSl.spatial.lon_0 |   6.626008703877965e-06 | -1.1228608736065863e-17 | 0.0 |  1.5087578156743422e-05 |   4.768500185864327e-09 | 0.0 | 0.0 | 0.0 | 0.0 |  2.7202919111528374e-08 |  3.7304833574982646e-08 |   2.975196881786877e-08 |    4.04122416290094e-08 |  4.6204770033077075e-08 |   4.173586150833534e-08 |   5.267778810203559e-08 |   6.731680743665698e-08 |   7.247205032658966e-08 |   7.955141215256242e-08 |   9.255640962820645e-08 |   1.080287192958711e-07 |  1.2911513367737054e-07 |  1.6968706693957548e-07 |   2.464225579388838e-07 |   3.455883744340271e-07 |   4.146524988487411e-07 |  4.0943009106543604e-07 |   3.315552760417722e-07 |  2.1789280872565288e-07 | 0.0 | 0.0 | 0.0 |   5.815679845239107e-06 | 0.0 |   5.558021915299206e-07 |  2.4662178106952637e-08 | 0.0 |
|               QCRFmgSl.spatial.lat_0 |   2.677393126169933e-07 |   2.538503658522652e-19 | 0.0 |   4.768500185864327e-09 |  1.1248153776728626e-05 | 0.0 | 0.0 | 0.0 | 0.0 |   4.706798642238639e-10 |  3.4267405937376514e-10 | -1.6017951227171158e-10 |  -7.916619737932127e-11 |  -4.596450200174638e-12 | -1.5419011492707804e-10 | -4.9571095917472315e-11 |  1.2375107499902077e-10 |  2.3826525386294083e-10 |   5.978403407491702e-10 |  1.5788252720096074e-09 |  3.3226221453023525e-09 |   5.569730450409715e-09 |   9.241892404815771e-09 |   1.645023563793999e-08 |   2.599530444808297e-08 |  3.1967821313594213e-08 |  2.9722291111216088e-08 |  2.0653435078347708e-08 |   1.006917681442033e-08 | 0.0 | 0.0 | 0.0 |  1.7606123980975338e-07 | 0.0 |   1.471217134079445e-07 |  -3.663906696324411e-09 | 0.0 |
|          9o3BKLmJ-bkg.spectral.norm0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|          9o3BKLmJ-bkg.spectral.norm1 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|          9o3BKLmJ-bkg.spectral.norm2 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|          9o3BKLmJ-bkg.spectral.norm3 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|          9o3BKLmJ-bkg.spectral.norm4 |  3.4379263778262366e-06 |  -5.837975132380301e-18 | 0.0 |  2.7202919111528374e-08 |   4.706798642238639e-10 | 0.0 | 0.0 | 0.0 | 0.0 |  1.9616902489873703e-05 |  1.1673130216649156e-05 |   -6.58667680053478e-06 |   3.877094401001668e-07 |  2.7109641060301594e-06 |  -2.532780521923569e-06 |   6.810230305105042e-07 |  1.1234219692244223e-06 | -1.2969071561307986e-06 |  2.3167072064968208e-07 |   6.211677121739299e-07 |  -5.831264783541289e-07 |  -5.399351152219511e-08 |  4.0250478843246354e-07 |   -1.74631020431703e-07 | -2.1765981962416848e-07 |  1.8088128083760889e-07 |  1.1782776135326045e-07 |  -1.450833580992238e-07 |  -1.193367929080894e-07 | 0.0 | 0.0 | 0.0 |  1.0719020003206365e-05 | 0.0 |  3.0031576739156663e-07 |  1.5199302114282472e-08 | 0.0 |
|          9o3BKLmJ-bkg.spectral.norm5 | -1.8735404289349165e-06 | -1.1687997959812562e-17 | 0.0 |  3.7304833574982646e-08 |  3.4267405937376514e-10 | 0.0 | 0.0 | 0.0 | 0.0 |  1.1673130216649156e-05 |  2.0997959608905066e-05 |   7.196034646157732e-06 |  -4.262389913684953e-06 |   7.182123243041433e-07 |  1.2645904713787472e-06 | -1.5911425545122634e-06 |  4.7577951673108036e-07 |   6.113035607098901e-07 |  -7.461764816375454e-07 |   1.262671137737464e-07 |  3.6288489940364335e-07 | -3.3449942335450585e-07 |  -7.774779984788755e-08 |   2.379149994964337e-07 |  -6.894499461578195e-08 | -1.7182868029251626e-07 |  5.3438699651231176e-08 |   8.442247717879923e-08 |   -9.65234530957159e-08 | 0.0 | 0.0 | 0.0 |    8.97759554124012e-06 | 0.0 |   5.934596385061808e-07 |  -1.894902037083939e-08 | 0.0 |
|          9o3BKLmJ-bkg.spectral.norm6 | -1.0704650713974975e-05 | -1.3780515676868065e-17 | 0.0 |   2.975196881786877e-08 | -1.6017951227171158e-10 | 0.0 | 0.0 | 0.0 | 0.0 |   -6.58667680053478e-06 |   7.196034646157732e-06 |   2.570117351982979e-05 |  1.0435870612992925e-05 |  -5.630112713714723e-06 |  1.1001211660475573e-06 |  2.0931064678709262e-06 |  -2.303243685557174e-06 |   4.905070350590474e-07 |   1.058830502861783e-06 |  -1.037932586770566e-06 |  1.8611376129415455e-08 |   6.421571609982939e-07 |  -4.000650549689881e-07 | -2.6594601291012383e-07 |   3.548889490327946e-07 |  5.0298999465006155e-08 |  -2.995663907617035e-07 |  -6.453893823619222e-08 |   1.984384084123808e-07 | 0.0 | 0.0 | 0.0 | -2.9893469868502156e-06 | 0.0 |   6.920883147139686e-07 |  -7.136840119369357e-08 | 0.0 |
|          9o3BKLmJ-bkg.spectral.norm7 |  -9.241101486720562e-06 | -1.4937024671593417e-17 | 0.0 |    4.04122416290094e-08 |  -7.916619737932127e-11 | 0.0 | 0.0 | 0.0 | 0.0 |   3.877094401001668e-07 |  -4.262389913684953e-06 |  1.0435870612992925e-05 |  2.9676210444807653e-05 |  1.2080849752819524e-05 |  -6.984429365873064e-06 |  1.0923339649797936e-06 |   3.088880518251117e-06 | -2.7932083143835315e-06 |  1.8353616480031452e-07 |  1.5950896821264265e-06 |  -1.164242895073204e-06 |  -3.064246381117789e-07 |   9.333904228441383e-07 | -2.6827625479226897e-07 |   -5.57995962379683e-07 |   3.281429407527803e-07 |    3.10714591642044e-07 |  -2.719420046744031e-07 | -2.6749846516731884e-07 | 0.0 | 0.0 | 0.0 |  -3.117394834529548e-06 | 0.0 |   7.482573319133488e-07 |  -6.633162666820556e-08 | 0.0 |
