|                           Parameters |                       0 |                       1 |   2 |                       3 |                       4 |   5 |   6 |   7 |   8 |                       9 |                      10 |                      11 |                      12 |                      13 |                      14 |                      15 |                      16 |                      17 |                      18 |                      19 |                      20 |                      21 |                      22 |                      23 |                      24 |                      25 |                      26 |                      27 |                      28 |  29 |  30 |  31 |                      32 |  33 |                      34 |                      35 |  36 |
|              yCptSnaN.spectral.index |    0.014462965665106079 |   4.810522377264313e-15 | 0.0 |   9.714866507068787e-06 |   8.921036956700922e-07 | 0.0 | 0.0 | 0.0 | 0.0 |  -2.507135955840578e-06 | -1.2000253406687644e-05 |    -1.9920483332531e-05 | -1.7127922509330292e-05 | -1.1778095557417383e-05 |   -9.13947572874542e-06 | -2.4496826660452752e-06 |     7.6272527246233e-06 |  1.4869154933507777e-05 |  2.0155969132010566e-05 |   2.555129538613958e-05 |  2.9667597548035676e-05 |   3.236861357704328e-05 |   3.446036958275703e-05 |   3.568687673733514e-05 |   3.739935190419302e-05 |  4.2080766471053696e-05 |   4.773370019047242e-05 |  4.7741504914483835e-05 |   3.862885576154079e-05 | 0.0 | 0.0 | 0.0 |    0.005508517545662167 | 0.0 |  -0.0001314154240335671 | -0.00035706396911287314 | 0.0 |
|          yCptSnaN.spectral.amplitude |   4.810522377264313e-15 |  2.3015456352834296e-26 | 0.0 | -2.5544961353033993e-17 |  -3.299716484582717e-19 | 0.0 | 0.0 | 0.0 | 0.0 | -1.2479378321469187e-17 | -2.5421956102327914e-17 | -2.8908079375876435e-17 |  -3.033772599592919e-17 | -2.9912773198858756e-17 | -2.6334408319751597e-17 | -2.4100216479270112e-17 | -2.1924705715205197e-17 | -1.7332517335729013e-17 | -1.2904292981227554e-17 |  -9.783798108512623e-18 | -6.7847789390106695e-18 |  -4.197388065840281e-18 |  -2.840918403374696e-18 |  -2.538165435310748e-18 | -2.5001444590921665e-18 |  -1.712053968842135e-18 |   2.402286230053569e-19 |  2.4228863838399856e-18 |   3.475577971027811e-18 | 0.0 | 0.0 | 0.0 |   7.059352044451061e-16 | 0.0 | -1.0835676863434999e-14 |  2.7155405288038975e-17 | 0.0 |
|          yCptSnaN.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|               yCptSnaN.spatial.lon_0 |   9.714866507068787e-06 | -2.5544961353033993e-17 | 0.0 |  3.2502192720845353e-05 |  1.2987874632535138e-08 | 0.0 | 0.0 | 0.0 | 0.0 |   4.659514497549019e-08 |   7.877893219766717e-08 |   7.973767120399063e-08 |  1.0019351758498177e-07 |  1.1693359875862733e-07 |  1.1767546756976726e-07 |  1.4154408029210118e-07 |  1.7664738637263272e-07 |  1.9463560663242566e-07 |  2.1334930414796814e-07 |  2.5137098631654345e-07 |   3.011292089332972e-07 |   3.673180704430203e-07 |   5.006157857476738e-07 |    7.51632350529899e-07 |  1.0641647718976206e-06 |  1.2719644228106645e-06 |  1.2458058026929455e-06 |  1.0027408616594118e-06 |   6.655049868705088e-07 | 0.0 | 0.0 | 0.0 |   8.071398436299464e-06 | 0.0 |   6.393770954646987e-07 |  1.1424892178714722e-08 | 0.0 |
|               yCptSnaN.spatial.lat_0 |   8.921036956700922e-07 |  -3.299716484582717e-19 | 0.0 |  1.2987874632535138e-08 |   2.422979077620708e-05 | 0.0 | 0.0 | 0.0 | 0.0 |   2.696685822137785e-09 |   4.043525268804235e-09 |  3.4246290803319493e-09 |  4.4408423185700774e-09 |   5.454804798561157e-09 |  5.4217329575336506e-09 |  6.7028826897392715e-09 |   8.676454943719924e-09 |   9.821963904819876e-09 |  1.1570283338717053e-08 |  1.5600797139543338e-08 |  2.1522088287528263e-08 |  2.9457908202896792e-08 |  4.4531352462271814e-08 |   7.274593559038313e-08 |  1.0779024067402441e-07 |  1.2990296712129367e-07 |  1.2407126718486795e-07 |   9.399043898708896e-08 |   5.623696640365186e-08 | 0.0 | 0.0 | 0.0 |   6.271072876011285e-07 | 0.0 |  1.5502885903021025e-07 | -3.3681514595655954e-09 | 0.0 |
|          b3kqo8Ei-bkg.spectral.norm0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|          b3kqo8Ei-bkg.spectral.norm1 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|          b3kqo8Ei-bkg.spectral.norm2 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|          b3kqo8Ei-bkg.spectral.norm3 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|          b3kqo8Ei-bkg.spectral.norm4 |  -2.507135955840578e-06 | -1.2479378321469187e-17 | 0.0 |   4.659514497549019e-08 |   2.696685822137785e-09 | 0.0 | 0.0 | 0.0 | 0.0 |  3.4216977181828075e-05 |  2.5374464332828167e-05 | -1.0679415056880164e-05 | -3.0852775438485274e-06 |   6.703665769596519e-06 | -3.4238192849154828e-06 | -1.3531955618986117e-06 |  3.1573810186214524e-06 | -1.1473758576502697e-06 | -1.2270608281228904e-06 |  1.3446829704665865e-06 |  1.8521213817739507e-08 |  -8.732170958193393e-07 |  3.0612349070559427e-07 |  4.3348741073413206e-07 | -3.2419582224579884e-07 |  -2.771346874961833e-07 |  1.7970371610468476e-07 |   1.734000501128573e-07 | -1.2274799816531092e-07 | 0.0 | 0.0 | 0.0 |  1.2081475295475439e-05 | 0.0 |  3.2958086431105313e-07 | -1.2062114930022738e-08 | 0.0 |
