| modelparameters |                   0 |                   1 |                   2 |                   3 |                   4 |                   5 |                   6 |                   7 |                   8 |                   9 |                  10 |                  11 |                  12 |                  13 |                  14 |                  15 |                  16 |                  17 |                  18 |                  19 |                  20 |                  21 |                  22 |                  23 |
|           norm0 |  140614.21794382166 |  -559209.2825588755 |  1249102.7530047118 | -2078232.1949141948 |  2881848.7693107566 | -3533617.9061376117 |   3969473.813896021 | -4179340.5294810757 |  4187406.1169333644 | -4033604.9171466157 |   3760862.291604914 |  -3408134.437865134 |  3007668.0850190083 |  -2584800.332068711 |   2159033.130095071 | -1745570.5712164897 |  1356833.2149549883 | -1003640.1548257731 |     695810.62161081 |  -441945.8226569406 |  248209.43994945707 | -116184.65466528609 |   40508.98462745219 |  -7932.911360587357 |
|           norm1 |  -559209.2825588781 |   2364088.452549399 | -5524485.9834133405 |    9507478.53550118 |  -13525065.82795646 |   16909776.00124858 | -19280580.283053454 |  20533689.472414102 |  -20755706.46809328 |  20130188.347712666 | -18868389.876650598 |   17168862.20450076 | -15199661.439339273 |  13094897.752052885 |  -10958895.05532247 |   8873439.754939467 |  -6905329.077397527 |      5112431.764513 | -3546869.9918942307 |    2254033.76567203 | -1266468.2194032369 |   593018.8503998935 | -206815.45286610755 |    40508.9846271627 |
|           norm2 |  1249102.7530056913 |   -5524485.98341809 |  13448434.918498032 |  -23952345.35321606 |  35035981.780731656 |   -44787545.1303774 |   51970911.06457292 |  -56117319.79111873 |   57340327.15425704 |   -56084109.1556669 |   52916653.82508526 |  -48398849.40450238 |  43020080.936488196 | -37179097.021179706 |   31190546.62071254 |  -25303104.31068534 |  19720113.415888514 | -14616845.416173993 |  10149899.665421354 | -6454772.7366550155 |   3628705.047774514 | -1699848.9745793384 |   593018.8503948471 | -116184.65466346974 |
|           norm3 | -2078232.1949104634 |   9507478.535481215 | -23952345.353130806 |   44068028.33482042 | -66340041.649769686 |   86896535.29310471 | -102880146.85710846 |   112910925.3987782 | -116884709.68830505 |  115513385.36980528 | -109884490.70340458 |  101152036.26769388 |   -90366069.0381245 |   78406561.88782898 |  -65981431.04834676 |  53656681.349927634 |  -41896747.33526957 |   31100342.73454702 | -21620860.411845237 |  13762008.514092207 |  -7742055.400939345 |  3628705.0477386527 | -1266468.2193799615 |   248209.4399431306 |
|           norm4 |   2881848.769302269 |  -13525065.82791027 |  35035981.780549526 | -66340041.649698175 |  102692572.30783571 | -137980430.76688877 |   167021551.2797485 | -186762947.42435315 |  196335578.49471956 | -196471059.03595188 |   188780115.5283713 | -175170607.04932398 |  157484269.76531485 | -137324851.81438768 |  116016737.60785638 |  -94636368.24970591 |    74073069.1476806 |  -55088780.11723692 |  38353948.565868564 | -24440942.971068487 |  13762008.513939286 |  -6454772.736519678 |  2254033.7656057156 | -441945.82264081604 |
|           norm5 | -3533617.9061170546 |  16909776.001137044 | -44787545.129980765 |   86896535.29274762 |  -137980430.7664594 |  190102932.19993103 | -235545907.07340056 |   268893454.1815076 | -287727463.46904653 |  292213300.79479253 |  -284195293.7802328 |   266302170.7397163 |  -241299933.0212573 |   211728328.9412483 |  -179760821.9182931 |  147205223.71815553 | -115572540.60614417 |   86158893.45919164 | -60098490.456553265 |   38353948.56540714 | -21620860.411345895 |  10149899.665087664 |  -3546869.991747938 |   695810.6215772518 |
|           norm6 |   3969473.813863865 | -19280580.282875698 |    51970911.0639527 | -102880146.85646683 |  167021551.27889866 | -235545907.07300615 |  298716201.62189585 | -348560362.82029784 |  380387869.15535444 | -392956527.54556286 |  387697003.62495106 |  -367614801.7857995 |   336324195.8828623 | -297402944.54898274 |  254066704.32777643 | -209077711.68911627 |  164787174.52844533 | -123223927.47802587 |   86158893.45812108 |  -55088780.11589409 |  31100342.733448673 | -14616845.415516878 |   5112431.764241091 | -1003640.1547655123 |
|           norm7 |  -4179340.529437968 |   20533689.47216967 |  -56117319.79026924 |  112910925.39784737 |  -186762947.4230779 |  268893454.18071264 |  -348560362.8198986 |   415771176.1599891 |  -463334132.0455075 |  487815723.98271567 |  -489326809.6854327 |   470544564.4965615 |   -435541451.052514 |   388824009.3520416 |   -334730480.332891 |    277158579.522435 | -219517759.25020573 |  164787174.52642363 |  -115572540.6033045 |      74073069.14499 |   -41896747.3332991 |   19720113.41477567 |  -6905329.076952615 |  1356833.2148585573 |
|           norm8 |  4187406.1168861464 | -20755706.467812132 |   57340327.15326083 | -116884709.68725209 |  196335578.49330938 | -287727463.46827507 |   380387869.1551395 | -463334132.04585785 |   527377056.7357794 |  -566608850.5330577 |    578978695.189762 |  -565877390.4528749 |   531089109.0226601 |  -479629017.7681845 |   416828899.0320821 |  -347790921.7746377 |  277158579.51928854 | -209077711.68421334 |   147205223.7129352 |  -94636368.24527098 |   53656681.34685851 | -25303104.309009206 |   8873439.754283601 | -1745570.5710763757 |
|           norm9 |  -4033604.917099391 |   20130188.34741116 |  -56084109.15457092 |  115513385.36870629 | -196471059.03452885 |  292213300.79417574 | -392956527.54567444 |   487815723.9835478 |  -566608850.5335171 |   621414147.7367569 |  -647689470.2931436 |   644655669.8915714 |  -614817305.4910585 |   562927455.2206434 |  -494875243.5193573 |   416828899.0279304 | -334730480.32583135 |    254066704.319443 |  -179760821.9103262 |  116016737.60145456 | -65981431.044059366 |  31190546.618419513 | -10958895.054437704 |   2159033.129907897 |
|          norm10 |  3760862.2915726383 | -18868389.876400605 |   52916653.82409808 | -109884490.70266493 |  188780115.52763328 |   -284195293.780773 |    387697003.626754 | -489326809.68848217 |   578978695.1927941 |  -647689470.2960799 |   688851575.1766042 |  -699155494.4702282 |   678917997.8182561 |  -631620748.0661352 |   562927455.2160126 | -479629017.75958467 |   388824009.3409264 |  -297402944.5371856 |  211728328.93056297 |  -137324851.8060681 |   78406561.88236701 |  -37179097.01829691 |  13094897.750950672 |  -2584800.331837038 |
|          norm11 | -3408134.4378571245 |  17168862.204346735 |  -48398849.40375819 |   101152036.2675499 |  -175170607.0496663 |   266302170.7419261 | -367614801.78995264 |  470544564.50261587 |  -565877390.4593971 |   644655669.8984668 |  -699155494.4743229 |   723941821.8238482 |  -716766200.9060212 |   678917997.8139768 |  -614817305.4822831 |   531089109.0101975 | -435541451.03796655 |   336324195.8681936 | -241299933.00835398 |  157484269.75544912 |  -90366069.03172421 |  43020080.933137506 | -15199661.438065417 |  3007668.0847523273 |
|          norm12 |  3007668.0850450858 | -15199661.439330505 |   43020080.93613865 |  -90366069.03884251 |  157484269.76718536 | -241299933.02572745 |   336324195.8901454 |   -435541451.062536 |     531089109.03384 |   -614817305.503263 |   678917997.8280283 |  -716766200.9119269 |   723941821.8209329 |  -699155494.4631343 |   644655669.8801796 |  -565877390.4380704 |    470544564.480006 | -367614801.76949704 |   266302170.7255783 |  -175170607.0386114 |  101152036.26078573 | -48398849.400900654 |   17168862.20313546 | -3408134.4375799224 |
|          norm13 | -2584800.3321341975 |  13094897.752218824 |  -37179097.02132299 |   78406561.88956101 | -137324851.81803486 |   211728328.9482689 |  -297402944.5597699 |  388824009.36648977 |  -479629017.7846099 |   562927455.2388608 |  -631620748.0824964 |   678917997.8269267 |   -699155494.470437 |    688851575.168746 |  -647689470.2812251 |   578978695.1746505 |  -489326809.6687404 |  387697003.60861915 | -284195293.76612103 |  188780115.51770115 | -109884490.69653295 |   52916653.82150579 | -18868389.875294626 |  3760862.2913217954 |
|          norm14 |   2159033.130198356 | -10958895.055661332 |   31190546.62135935 |  -65981431.05106246 |  116016737.61320901 | -179760821.92768043 |  254066704.34179455 |  -334730480.3514057 |   416828899.0533713 | -494875243.54318374 |     562927455.23867 |  -614817305.5021449 |   644655669.8948867 |  -647689470.2889116 |   621414147.7258897 |  -566608850.5192525 |   487815723.9674266 |  -392956527.5305605 |   292213300.7817998 | -196471059.02610874 |  115513385.36345676 |  -56084109.15235625 |  20130188.346457563 | -4033604.9168844325 |
