|                           Parameters |                       0 |                       1 |   2 |                       3 |                       4 |   5 |   6 |   7 |   8 |                       9 |                      10 |                      11 |                      12 |                      13 |                      14 |                      15 |                      16 |                      17 |                      18 |                      19 |                      20 |                      21 |                      22 |                      23 |                      24 |                      25 |                      26 |                      27 |                      28 |  29 |  30 |  31 |                      32 |  33 |                      34 |                      35 |  36 |
|              kA6AW9dJ.spectral.index |    0.053264531790025986 |  1.9902966012419645e-14 | 0.0 |  3.3634014183906826e-05 |    9.77886352212019e-06 | 0.0 | 0.0 | 0.0 | 0.0 | -3.3187605715635966e-05 |  -7.850729921709168e-05 |  -8.796059673908067e-05 |  -6.691747533112767e-05 |  -4.341208545367531e-05 | -1.8764307827949385e-05 |  1.3906468352036072e-05 |  4.9071803402399734e-05 |    7.87046180851025e-05 |  0.00010145500892531133 |  0.00011926554921734827 |   0.0001330826396570207 |   0.0001427436688542436 |   0.0001483473305221626 |  0.00015217677661265284 |  0.00015871986244441936 |  0.00016890268809543503 |  0.00017428434039441144 |  0.00016229760761352093 |   0.0001293373561852502 | 0.0 | 0.0 | 0.0 |    0.007942779756582611 | 0.0 | -0.00013399223838590277 | -0.00036079128195673135 | 0.0 |
|          kA6AW9dJ.spectral.amplitude |  1.9902966012419645e-14 |   6.535466589172397e-26 | 0.0 | -1.4002043482802556e-16 |  -2.702659763380928e-17 | 0.0 | 0.0 | 0.0 | 0.0 | -4.9243431551464605e-17 | -1.1377749895203364e-16 |  -1.356668124277639e-16 | -1.3310727424873352e-16 |  -1.300603767163422e-16 | -1.1928743074424106e-16 | -1.0518593187399214e-16 |  -9.392965005669306e-17 |   -7.81797826571273e-17 |  -5.790171067803283e-17 |  -4.107773101598644e-17 |  -2.874625760255136e-17 |  -1.773068034378434e-17 |  -8.128571571233826e-18 |   -1.39238027276505e-18 |  2.5610204237274323e-18 |   4.533452694006908e-18 |   5.229202169318583e-18 |   5.329661401913007e-18 |  5.1495534040090064e-18 | 0.0 | 0.0 | 0.0 |   9.203793371080372e-16 | 0.0 | -1.0440585842342598e-14 |   3.138267772277243e-17 | 0.0 |
|          kA6AW9dJ.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|               kA6AW9dJ.spatial.lon_0 |  3.3634014183906826e-05 | -1.4002043482802556e-16 | 0.0 |  0.00015085331912088534 |  1.3780458714195305e-07 | 0.0 | 0.0 | 0.0 | 0.0 |  1.2965016321671132e-07 |   3.032141738390703e-07 |   4.009839693180337e-07 |  4.7633004600565705e-07 |   5.455181490669665e-07 |   5.872948673160994e-07 |   6.565209725756976e-07 |   7.543355165452351e-07 |   8.102147668888343e-07 |   8.252205334105339e-07 |   8.617164424886442e-07 |    9.46219373368799e-07 |  1.0571671804682781e-06 |  1.1981604588248129e-06 |   1.527181958680608e-06 |  2.3466698642949503e-06 |   3.721281821579062e-06 |   5.075465734455495e-06 |   5.496890831703803e-06 |   4.618803360606513e-06 | 0.0 | 0.0 | 0.0 |  1.4347867116909652e-05 | 0.0 |   7.687546296421707e-07 |  -4.946902602964998e-09 | 0.0 |
|               kA6AW9dJ.spatial.lat_0 |    9.77886352212019e-06 |  -2.702659763380928e-17 | 0.0 |  1.3780458714195305e-07 |   0.0001123455385907966 | 0.0 | 0.0 | 0.0 | 0.0 |  2.9359223273076355e-08 |   6.785350969774888e-08 |   8.913088997436588e-08 |  1.0679071065340389e-07 |  1.2359592893648603e-07 |   1.331146798194224e-07 |  1.4788797696072158e-07 |  1.6867932621992775e-07 |  1.7979740507371756e-07 |  1.8273247754010503e-07 |  1.9331441437555252e-07 |   2.176703468595945e-07 |   2.498837539760226e-07 |   2.924878152678716e-07 |  3.8708475204151227e-07 |   6.058042122608534e-07 |   9.558390820669547e-07 |   1.288010475969853e-06 |  1.3789407068994367e-06 |  1.1469240103997759e-06 | 0.0 | 0.0 | 0.0 |   3.987513804470502e-06 | 0.0 |   2.640966423845319e-07 | -1.9955372076213595e-09 | 0.0 |
|          R65N1AuS-bkg.spectral.norm0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|          R65N1AuS-bkg.spectral.norm1 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|          R65N1AuS-bkg.spectral.norm2 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|          R65N1AuS-bkg.spectral.norm3 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|          R65N1AuS-bkg.spectral.norm4 | -3.3187605715635966e-05 | -4.9243431551464605e-17 | 0.0 |  1.2965016321671132e-07 |  2.9359223273076355e-08 | 0.0 | 0.0 | 0.0 | 0.0 |   9.747475388139447e-05 |  0.00010544640872351436 | -1.1527419167592214e-05 |   -3.41637010814552e-05 |  1.7342756489333924e-05 |   8.035823115355648e-06 |  -1.394706072546918e-05 |   6.539969115096902e-07 |   7.565905090329544e-06 | -2.5323009469549696e-06 | -3.5596097079937483e-06 |   1.988608137780158e-06 |  1.5969836354486968e-06 |  -1.320094577361923e-06 |  -1.066124360159072e-06 |  4.6982141297898675e-07 |   5.958712602802885e-07 | -1.2976290147103037e-07 |    -4.6560727412144e-07 |    -3.1074968508578e-07 | 0.0 | 0.0 | 0.0 |  1.1991083219309845e-05 | 0.0 |   2.753164478768377e-07 |  -3.026464080666297e-08 | 0.0 |
