|                           Parameters |                       0 |                       1 |   2 |                       3 |                      4 |   5 |   6 |   7 |   8 |                       9 |                      10 |                      11 |                      12 |                      13 |                      14 |                      15 |                      16 |                      17 |                      18 |                      19 |                      20 |                      21 |                      22 |                      23 |                      24 |                      25 |                      26 |                      27 |                      28 |  29 |  30 |  31 |                      32 |  33 |                      34 |                      35 |  36 |
|              auymsCLX.spectral.index |     0.21003989053097744 |   8.342913855498785e-14 | 0.0 |   9.970044906614272e-05 |  2.171370934366517e-05 | 0.0 | 0.0 | 0.0 | 0.0 |  -8.205836768554007e-06 |  -1.167397996759202e-05 |    -5.6969344574745e-06 | -2.0363600217577174e-06 | -1.3155350590533196e-06 | -1.8494196403437084e-08 |  3.7320988657717466e-07 |  4.3442185395074143e-07 |   6.562342021226394e-07 |   5.682145083969757e-07 |   5.552788007924118e-07 |   5.422243240169903e-07 |   4.726204805951413e-07 |   4.663898230629202e-07 |   4.780528068499066e-07 |   5.840488042712899e-07 |   7.071417908467637e-07 |  1.9512121186205683e-06 |   6.683885976654255e-06 |  1.3970225621402664e-05 | 0.0 | 0.0 | 0.0 |   0.0044376373358808495 | 0.0 |  -7.521768587589527e-05 | -0.00035101988541603654 | 0.0 |
|          auymsCLX.spectral.amplitude |   8.342913855498785e-14 |  2.5626898841194516e-25 | 0.0 |  -6.136548908283935e-16 | -7.199244161497433e-17 | 0.0 | 0.0 | 0.0 | 0.0 |   -9.76917551736113e-18 |  -1.477543463633806e-17 |  -8.807756325622781e-18 |  -4.887394934940132e-18 |  -4.015796413849484e-18 |   -2.19577102173491e-18 | -1.3295557485365566e-18 |  -9.941969059074525e-19 |  -5.071205427314162e-19 |  -4.012418231484688e-19 |  -2.677059596186624e-19 |  -1.515497879666019e-19 | -1.6176315579355576e-19 | -1.3909584267438219e-19 |  -1.448931031972146e-19 |  -6.163136249298203e-20 |   5.424041961793681e-20 | -1.2968973734655508e-19 |  -5.819671774355517e-19 |  -9.678007136361637e-19 | 0.0 | 0.0 | 0.0 |   6.976939229118853e-17 | 0.0 | -1.0023412278090181e-14 |  3.6806623443444694e-17 | 0.0 |
|          auymsCLX.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|               auymsCLX.spatial.lon_0 |   9.970044906614272e-05 |  -6.136548908283935e-16 | 0.0 |   0.0006906157040146419 | 4.6581326041516143e-07 | 0.0 | 0.0 | 0.0 | 0.0 |   6.731951137064174e-08 |    9.38889773390017e-08 |   5.403422662171575e-08 |   3.772501618087292e-08 |  3.5394914123170395e-08 |   2.483310963202125e-08 |  2.1752606308077536e-08 |  2.0059415103889022e-08 |   1.778054582793398e-08 |  1.7971047712454544e-08 |  1.9112798056994675e-08 |   2.097289344093099e-08 |   2.488084167730631e-08 |   3.783331755571721e-08 |   4.663921378540411e-08 |  2.4424802438994907e-08 |   1.870244087850837e-09 |   1.101933008399103e-07 |   4.770132995611417e-07 |   9.835201045887301e-07 | 0.0 | 0.0 | 0.0 |    7.88243816192298e-06 | 0.0 |    2.89346834052117e-07 | -1.3310521229664274e-08 | 0.0 |
|               auymsCLX.spatial.lat_0 |   2.171370934366517e-05 |  -7.199244161497433e-17 | 0.0 |  4.6581326041516143e-07 |  0.0005147137714012507 | 0.0 | 0.0 | 0.0 | 0.0 |   1.248075012548291e-08 |  1.7111618784286912e-08 |     9.5805922964631e-09 |   6.722450263506813e-09 |   6.374706184829617e-09 |   4.487808405985433e-09 |   4.003774277678296e-09 |   3.707486015028036e-09 |   3.327978302632369e-09 |   3.410934178850006e-09 |   3.687970055266002e-09 |   4.130205255869299e-09 |   4.966553810073937e-09 |   7.641803948367234e-09 |   9.465405580080832e-09 |   4.974222267153841e-09 |    4.99108875139041e-10 |  2.2411894356035167e-08 |   9.588274490091286e-08 |   1.968662274479699e-07 | 0.0 | 0.0 | 0.0 |  1.5363830935563615e-06 | 0.0 |  1.1887437715341879e-07 |  -2.249469886850959e-09 | 0.0 |
|          IExkEtWg-bkg.spectral.norm0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|          IExkEtWg-bkg.spectral.norm1 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|          IExkEtWg-bkg.spectral.norm2 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|          IExkEtWg-bkg.spectral.norm3 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|          IExkEtWg-bkg.spectral.norm4 |  -8.205836768554007e-06 |   -9.76917551736113e-18 | 0.0 |   6.731951137064174e-08 |  1.248075012548291e-08 | 0.0 | 0.0 | 0.0 | 0.0 |  2.3586807333475514e-05 |   1.712588052393677e-05 |    -4.2862376792698e-06 |  -7.379944735169467e-07 |  1.8306876645118665e-06 | -1.3191992940714853e-06 |    4.77488892493811e-07 |  1.2776200340707198e-07 |  -3.643129727265569e-07 |   3.208385040443445e-07 |  -1.506033508235754e-07 | -1.7792232333473754e-08 |  1.1437620766656894e-07 | -1.2425908988800648e-07 |   6.844578364930225e-08 |   1.750574103986062e-08 |  -9.470752630820383e-08 |  1.1863816855810168e-07 | -5.4369479972638645e-09 |  -4.603741234133032e-07 | 0.0 | 0.0 | 0.0 |   3.279587866380393e-07 | 0.0 |   8.958984133988288e-09 | -2.0312968336849804e-09 | 0.0 |
