|                      Parameters |                     0 |                      1 |   2 |                      3 |                      4 |                      5 |   6 |   7 |
|         aEaZD8Bs.spectral.index | 0.0021532075648200426 |  9.281013860968608e-16 | 0.0 |  6.266404474208828e-07 |  8.538670222201369e-09 |                    0.0 | 0.0 | 0.0 |
|     aEaZD8Bs.spectral.amplitude | 9.281013860968608e-16 | 2.5650992834997357e-27 | 0.0 | -4.912064376097379e-18 |  4.643678216437988e-19 |                    0.0 | 0.0 | 0.0 |
|     aEaZD8Bs.spectral.reference |                   0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |
|          aEaZD8Bs.spatial.lon_0 | 6.266404474208828e-07 | -4.912064376097379e-18 | 0.0 | 6.9960759069013204e-06 | 1.3584770643552025e-09 |                    0.0 | 0.0 | 0.0 |
|          aEaZD8Bs.spatial.lat_0 | 8.538670222201369e-09 |  4.643678216437988e-19 | 0.0 | 1.3584770643552025e-09 |  5.219700899908123e-06 |                    0.0 | 0.0 | 0.0 |
|      XUVhgO3H-bkg.spectral.norm |                   0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 2.4348549357567925e-06 | 0.0 | 0.0 |
|      XUVhgO3H-bkg.spectral.tilt |                   0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |
| XUVhgO3H-bkg.spectral.reference |                   0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |
