|                            Parameters |                      0 |   1 |   2 |                      3 |                      4 |                     5 |                      6 |   7 |   8 |   9 |                     10 |                     11 |  12 |
|               AMdIGyyn.spectral.index |    0.04334913037097154 | 0.0 | 0.0 | 0.00020837740177338164 | 0.00014966950758155898 |                   0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           AMdIGyyn.spectral.amplitude |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           AMdIGyyn.spectral.reference |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                AMdIGyyn.spatial.lon_0 | 0.00020837740177338164 | 0.0 | 0.0 |  0.0011791955390001308 |   8.61896759866888e-06 |                   0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                AMdIGyyn.spatial.lat_0 | 0.00014966950758155898 | 0.0 | 0.0 |   8.61896759866888e-06 |  0.0009361881734917248 |                   0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           dataset N-bkg.spectral.norm |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 3.493077179058698e-05 |  2.912911206658582e-06 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           dataset N-bkg.spectral.tilt |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 2.912911206658582e-06 | 3.9974352527612306e-05 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|      dataset N-bkg.spectral.reference |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|       dataset N-irf.e_reco_model.bias |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
| dataset N-irf.e_reco_model.resolution |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|  dataset N-irf.spectral.norm_nuisance |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |   0.009964145493055136 | 2.6492355197053016e-06 | 0.0 |
|  dataset N-irf.spectral.tilt_nuisance |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 2.6492355197053016e-06 |  0.0002247153346796879 | 0.0 |
|      dataset N-irf.spectral.reference |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
