|                            Parameters |                    0 |   1 |   2 |                    3 |                    4 |                      5 |                      6 |   7 |   8 |   9 |                    10 |                    11 |  12 |
|               AMdIGyyn.spectral.index |   1.1414343804808618 | 0.0 | 0.0 |    0.032347341342635 | 0.027719768289507767 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|           AMdIGyyn.spectral.amplitude |                  0.0 | 0.0 | 0.0 |                  0.0 |                  0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|           AMdIGyyn.spectral.reference |                  0.0 | 0.0 | 0.0 |                  0.0 |                  0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|                AMdIGyyn.spatial.lon_0 |    0.032347341342635 | 0.0 | 0.0 | 0.030092801886755904 | 0.003927593810712426 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|                AMdIGyyn.spatial.lat_0 | 0.027719768289507767 | 0.0 | 0.0 | 0.003927593810712426 | 0.022583406433431437 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|           dataset N-bkg.spectral.norm |                  0.0 | 0.0 | 0.0 |                  0.0 |                  0.0 |  3.462363538716789e-05 | 2.8556115829033493e-06 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|           dataset N-bkg.spectral.tilt |                  0.0 | 0.0 | 0.0 |                  0.0 |                  0.0 | 2.8556115829033493e-06 | 4.0400855992992775e-05 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|      dataset N-bkg.spectral.reference |                  0.0 | 0.0 | 0.0 |                  0.0 |                  0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|       dataset N-irf.e_reco_model.bias |                  0.0 | 0.0 | 0.0 |                  0.0 |                  0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
| dataset N-irf.e_reco_model.resolution |                  0.0 | 0.0 | 0.0 |                  0.0 |                  0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|  dataset N-irf.spectral.norm_nuisance |                  0.0 | 0.0 | 0.0 |                  0.0 |                  0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |  0.009995646699635359 | 3.092668613444814e-07 | 0.0 |
|  dataset N-irf.spectral.tilt_nuisance |                  0.0 | 0.0 | 0.0 |                  0.0 |                  0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 3.092668613444814e-07 | 0.0002249680525280858 | 0.0 |
|      dataset N-irf.spectral.reference |                  0.0 | 0.0 | 0.0 |                  0.0 |                  0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
