|                            Parameters |                      0 |                      1 |   2 |                      3 |                      4 |                     5 |                     6 |   7 |   8 |   9 |                      10 |                      11 |  12 |
|               AMdIGyyn.spectral.index |   0.007140930325097291 | 2.3319296663341177e-15 | 0.0 |  5.919243325924456e-07 |  7.008777380529734e-08 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|           AMdIGyyn.spectral.amplitude | 2.3319296663341177e-15 | 1.8585441291517406e-26 | 0.0 | -9.716346919247756e-18 | 1.0664647502138508e-18 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|           AMdIGyyn.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|                AMdIGyyn.spatial.lon_0 |  5.919243325924456e-07 | -9.716346919247756e-18 | 0.0 |  2.128284977238586e-05 |  2.228364239001211e-09 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|                AMdIGyyn.spatial.lat_0 |  7.008777380529734e-08 | 1.0664647502138508e-18 | 0.0 |  2.228364239001211e-09 |  1.592845079968031e-05 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|           dataset N-bkg.spectral.norm |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 3.488590446246838e-05 | 2.871450189692554e-06 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|           dataset N-bkg.spectral.tilt |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 2.871450189692554e-06 | 4.069940426822575e-05 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|      dataset N-bkg.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|       dataset N-irf.e_reco_model.bias |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
| dataset N-irf.e_reco_model.resolution |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|  dataset N-irf.spectral.norm_nuisance |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |    0.010307315157137084 | -1.0865765842254544e-07 | 0.0 |
|  dataset N-irf.spectral.tilt_nuisance |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | -1.0865765842254544e-07 |  0.00022460404121073246 | 0.0 |
|      dataset N-irf.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
