|                     Parameters |                       0 |                       1 |   2 |                      3 |   4 |   5 |   6 |                      7 |   8 |   9 |                    10 |                     11 |  12 |
|         Crablog.spectral.index |    0.009049642372825609 | -2.2422333745039393e-16 | 0.0 | -0.0011666566856537084 | 0.0 | 0.0 | 0.0 |  4.464451687753921e-05 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.amplitude | -2.2422333745039393e-16 |   7.904415564517246e-26 | 0.0 |  1.792141549795026e-15 | 0.0 | 0.0 | 0.0 | 2.7310777875103737e-15 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|       Crablog.spectral.lambda_ |  -0.0011666566856537084 |   1.792141549795026e-15 | 0.0 | 0.00043172332086279316 | 0.0 | 0.0 | 0.0 | -8.093231175650736e-06 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lon_0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lat_0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.sigma |   4.464451687753921e-05 |  2.7310777875103737e-15 | 0.0 | -8.093231175650736e-06 | 0.0 | 0.0 | 0.0 | 0.00024480079463166243 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|              Crablog.spatial.e |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|            Crablog.spatial.phi |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 3.034614588250243e-06 |  1.906392237900276e-07 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 1.906392237900276e-07 | 3.0192573016011347e-06 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
