|                     Parameters |                      0 |                      1 |   2 |                      3 |   4 |   5 |   6 |                      7 |   8 |   9 |                     10 |                     11 |  12 |
|         Crablog.spectral.index |   0.009084258035072606 | -8.735050488215041e-16 | 0.0 | -0.0006384352403988421 | 0.0 | 0.0 | 0.0 |  0.0001730630851702078 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.amplitude | -8.735050488215041e-16 |  6.758330943325203e-26 | 0.0 |  5.369445826407677e-16 | 0.0 | 0.0 | 0.0 | 3.2119426461526053e-15 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crablog.spectral.lambda_ | -0.0006384352403988421 |  5.369445826407677e-16 | 0.0 | 0.00017675288165056155 | 0.0 | 0.0 | 0.0 | -3.392290506132018e-05 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|         Crablog.spectral.alpha |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lon_0 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lat_0 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.sigma |  0.0001730630851702078 | 3.2119426461526053e-15 | 0.0 | -3.392290506132018e-05 | 0.0 | 0.0 | 0.0 | 0.00034279935595116597 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|              Crablog.spatial.e |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|            Crablog.spatial.phi |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |  3.084821344642134e-06 | 2.3664158477724573e-07 | 0.0 |
|      dataset-bkg.spectral.tilt |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 2.3664158477724573e-07 | 3.0077288176449045e-06 | 0.0 |
| dataset-bkg.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
