|                  Parameters |                      0 |                       1 |   2 |                      3 |                       4 |
|     9RF7WHfZ.spectral.index |  0.0021204751020526174 |   9.456381202674677e-16 | 0.0 |  3.725652004484322e-06 |  -4.548860453765856e-06 |
| 9RF7WHfZ.spectral.amplitude |  9.456381202674677e-16 |   2.433104658530192e-27 | 0.0 | -2.657484846750035e-18 | -3.0319605439031806e-18 |
| 9RF7WHfZ.spectral.reference |                    0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 |
|      9RF7WHfZ.spatial.lon_0 |  3.725652004484322e-06 |  -2.657484846750035e-18 | 0.0 |   6.68483394880958e-06 |    1.53038169206743e-07 |
|      9RF7WHfZ.spatial.lat_0 | -4.548860453765856e-06 | -3.0319605439031806e-18 | 0.0 |   1.53038169206743e-07 |  4.9796173229932695e-06 |
