|                  Parameters |                       0 |                       1 |   2 |                       3 |                       4 |
|     kqhBzdvr.spectral.index |    0.002658382474743096 |  1.0208275089938658e-15 | 0.0 | -3.7234177850204552e-06 |  2.4746680285166904e-06 |
| kqhBzdvr.spectral.amplitude |  1.0208275089938658e-15 |  1.1022559951328233e-26 | 0.0 |  3.2154179418870268e-18 | -2.4235053067113646e-19 |
| kqhBzdvr.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |
|      kqhBzdvr.spatial.lon_0 | -3.7234177850204552e-06 |  3.2154179418870268e-18 | 0.0 |   7.168527926057866e-06 |  -2.329034277163202e-07 |
|      kqhBzdvr.spatial.lat_0 |  2.4746680285166904e-06 | -2.4235053067113646e-19 | 0.0 |  -2.329034277163202e-07 |   5.641605115750111e-06 |
