|                  Parameters |                     0 |                      1 |   2 |                      3 |                      4 |
|     EsyLsqww.spectral.index | 0.0018532266194555814 |  7.581755152581081e-16 | 0.0 |  1.476918830744369e-06 |  4.683426201330739e-07 |
| EsyLsqww.spectral.amplitude | 7.581755152581081e-16 | 2.2213684231700284e-27 | 0.0 | -1.931796171745743e-18 | 4.7835759265268855e-19 |
| EsyLsqww.spectral.reference |                   0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |
|      EsyLsqww.spatial.lon_0 | 1.476918830744369e-06 | -1.931796171745743e-18 | 0.0 | 6.1649093233917325e-06 | 2.5943239352871266e-07 |
|      EsyLsqww.spatial.lat_0 | 4.683426201330739e-07 | 4.7835759265268855e-19 | 0.0 | 2.5943239352871266e-07 | 4.4431758650280276e-06 |
