|                  Parameters |                       0 |                      1 |   2 |                       3 |                     4 |
|     u8uMxRqX.spectral.index |   0.0021988103014169277 |  9.350953645136245e-16 | 0.0 | -4.3806828145529674e-07 | 4.015153852304337e-06 |
| u8uMxRqX.spectral.amplitude |   9.350953645136245e-16 |   1.46952507969897e-26 | 0.0 |  -6.018967436767209e-18 | 3.679344546744764e-18 |
| u8uMxRqX.spectral.reference |                     0.0 |                    0.0 | 0.0 |                     0.0 |                   0.0 |
|      u8uMxRqX.spatial.lon_0 | -4.3806828145529674e-07 | -6.018967436767209e-18 | 0.0 |   6.046134561048099e-06 | 5.240580819899917e-09 |
|      u8uMxRqX.spatial.lat_0 |   4.015153852304337e-06 |  3.679344546744764e-18 | 0.0 |   5.240580819899917e-09 | 4.423455359097239e-06 |
