|                  Parameters |                       0 |                       1 |   2 |                       3 |                       4 |
|     hL27V4We.spectral.index |     0.00222300222768183 |   8.072341797004696e-16 | 0.0 | -1.0934089716197565e-06 | -2.4606057905495938e-06 |
| hL27V4We.spectral.amplitude |   8.072341797004696e-16 |  2.1228669620117406e-27 | 0.0 | -5.8747136100597854e-18 |  2.7887410223793827e-18 |
| hL27V4We.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |
|      hL27V4We.spatial.lon_0 | -1.0934089716197565e-06 | -5.8747136100597854e-18 | 0.0 |   7.008763482364944e-06 |   4.046227996090121e-09 |
|      hL27V4We.spatial.lat_0 | -2.4606057905495938e-06 |  2.7887410223793827e-18 | 0.0 |   4.046227996090121e-09 |   5.327673695037561e-06 |
