|                  Parameters |                       0 |                       1 |   2 |                       3 |                       4 |
|     TskC3UIc.spectral.index |   0.0021361598377524923 |   7.986972020862602e-16 | 0.0 | -2.2013543324720766e-06 | -1.1675980117709717e-07 |
| TskC3UIc.spectral.amplitude |   7.986972020862602e-16 |   1.802324914842029e-27 | 0.0 |   -4.43993961225562e-18 | -1.2338358900331799e-18 |
| TskC3UIc.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |
|      TskC3UIc.spatial.lon_0 | -2.2013543324720766e-06 |   -4.43993961225562e-18 | 0.0 |   7.026522572071566e-06 |   6.960493672053816e-08 |
|      TskC3UIc.spatial.lat_0 | -1.1675980117709717e-07 | -1.2338358900331799e-18 | 0.0 |   6.960493672053816e-08 |   5.152381309522132e-06 |
