|                  Parameters |                      0 |                      1 |   2 |                      3 |                      4 |
|     rmWPB5X0.spectral.index |  0.0021175197177155576 |  9.271445610241827e-16 | 0.0 |  4.878267665036628e-06 | 2.0655699149880416e-06 |
| rmWPB5X0.spectral.amplitude |  9.271445610241827e-16 |  3.239269293725669e-27 | 0.0 | -7.098185340049835e-18 | 1.0272949323806026e-18 |
| rmWPB5X0.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |
|      rmWPB5X0.spatial.lon_0 |  4.878267665036628e-06 | -7.098185340049835e-18 | 0.0 |  6.678414817720513e-06 | 1.4522584942407738e-07 |
|      rmWPB5X0.spatial.lat_0 | 2.0655699149880416e-06 | 1.0272949323806026e-18 | 0.0 | 1.4522584942407738e-07 | 4.8198127967979815e-06 |
