|                  Parameters |                      0 |                       1 |   2 |                       3 |                       4 |
|     EEOmFiK6.spectral.index |  0.0025761834167584118 |  1.2583497805467669e-15 | 0.0 |  -6.668639263892558e-07 |  -2.720116950133898e-06 |
| EEOmFiK6.spectral.amplitude | 1.2583497805467669e-15 |  2.4383807341043553e-26 | 0.0 | -1.1236567946009928e-17 | -2.6184901322694044e-18 |
| EEOmFiK6.spectral.reference |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |
|      EEOmFiK6.spatial.lon_0 | -6.668639263892558e-07 | -1.1236567946009928e-17 | 0.0 |  6.9131016608526755e-06 |  2.4142515768821143e-07 |
|      EEOmFiK6.spatial.lat_0 | -2.720116950133898e-06 | -2.6184901322694044e-18 | 0.0 |  2.4142515768821143e-07 |   5.245094012327043e-06 |
