|                  Parameters |                      0 |                      1 |   2 |                      3 |                      4 |
|     rVOKSVRC.spectral.index |  0.0020477669054509897 |  1.060357734896519e-15 | 0.0 | -3.429179949499016e-07 | -2.126955702936453e-06 |
| rVOKSVRC.spectral.amplitude |  1.060357734896519e-15 |  3.330331872836652e-27 | 0.0 | -4.146023852687309e-18 |  8.778334957925847e-20 |
| rVOKSVRC.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |
|      rVOKSVRC.spatial.lon_0 | -3.429179949499016e-07 | -4.146023852687309e-18 | 0.0 | 6.7764701579819605e-06 | 1.1257878556304235e-07 |
|      rVOKSVRC.spatial.lat_0 | -2.126955702936453e-06 |  8.778334957925847e-20 | 0.0 | 1.1257878556304235e-07 |  4.815197245190338e-06 |
