|                  Parameters |                      0 |                      1 |   2 |                      3 |                      4 |
|     R09B6ch2.spectral.index |  0.0027763688885646936 |  8.489138105093174e-16 | 0.0 | 1.9312024488864596e-06 | -8.755734997477487e-06 |
| R09B6ch2.spectral.amplitude |  8.489138105093174e-16 | 1.2556593014372688e-26 | 0.0 |  -6.62736115519331e-18 | -3.971423637747581e-18 |
| R09B6ch2.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |
|      R09B6ch2.spatial.lon_0 | 1.9312024488864596e-06 |  -6.62736115519331e-18 | 0.0 |  8.394305628950016e-06 |  5.065666072019711e-07 |
|      R09B6ch2.spatial.lat_0 | -8.755734997477487e-06 | -3.971423637747581e-18 | 0.0 |  5.065666072019711e-07 |  5.908421486435308e-06 |
