|                  Parameters |                      0 |                      1 |   2 |                      3 |                      4 |
|     o3UHzjhv.spectral.index |  0.0023936661869457553 |   7.37836642118481e-16 | 0.0 | -9.766404130658268e-07 | -3.472043807069754e-06 |
| o3UHzjhv.spectral.amplitude |   7.37836642118481e-16 | 1.8678263456401874e-26 | 0.0 | -7.614654761120505e-18 | -4.323545685292696e-18 |
| o3UHzjhv.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |
|      o3UHzjhv.spatial.lon_0 | -9.766404130658268e-07 | -7.614654761120505e-18 | 0.0 |  6.207329888366703e-06 | -9.025837459192148e-08 |
|      o3UHzjhv.spatial.lat_0 | -3.472043807069754e-06 | -4.323545685292696e-18 | 0.0 | -9.025837459192148e-08 |  4.446826888483694e-06 |
