|                  Parameters |                       0 |                      1 |   2 |                      3 |                       4 |
|     0qyvcj-T.spectral.index |     0.00249526784277397 |  7.827223152138322e-16 | 0.0 |  2.504967613732035e-06 | -1.7621487042012348e-06 |
| 0qyvcj-T.spectral.amplitude |   7.827223152138322e-16 | 1.5693813092914186e-26 | 0.0 | -6.732014446790093e-21 |  1.6687066439750074e-18 |
| 0qyvcj-T.spectral.reference |                     0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |
|      0qyvcj-T.spatial.lon_0 |   2.504967613732035e-06 | -6.732014446790093e-21 | 0.0 |  6.625780065611071e-06 |  1.3425007281841647e-07 |
|      0qyvcj-T.spatial.lat_0 | -1.7621487042012348e-06 | 1.6687066439750074e-18 | 0.0 | 1.3425007281841647e-07 |  5.1705244209450075e-06 |
