|                  Parameters |                      0 |                       1 |   2 |                       3 |                       4 |
|     9xXUioHz.spectral.index |  0.0019894472234722065 |   8.325760862885402e-16 | 0.0 |  1.4793942510460737e-06 |   5.562711831740109e-07 |
| 9xXUioHz.spectral.amplitude |  8.325760862885402e-16 |   2.433329979540782e-27 | 0.0 | -1.9705273437680357e-18 | -1.1892713305671946e-18 |
| 9xXUioHz.spectral.reference |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |
|      9xXUioHz.spatial.lon_0 | 1.4793942510460737e-06 | -1.9705273437680357e-18 | 0.0 |   6.456243322268118e-06 | -1.6877063314764686e-07 |
|      9xXUioHz.spatial.lat_0 |  5.562711831740109e-07 | -1.1892713305671946e-18 | 0.0 | -1.6877063314764686e-07 |    4.94172762027891e-06 |
