|                  Parameters |                       0 |                       1 |   2 |                      3 |                       4 |
|     bfGYWPKo.spectral.index |   0.0020823471138914076 |   1.046763405571069e-15 | 0.0 | 2.5085753752575223e-06 | -1.4266595463009528e-06 |
| bfGYWPKo.spectral.amplitude |   1.046763405571069e-15 |    2.86173302537326e-27 | 0.0 | -4.939689595717905e-18 | -1.3231322084731929e-18 |
| bfGYWPKo.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 |
|      bfGYWPKo.spatial.lon_0 |  2.5085753752575223e-06 |  -4.939689595717905e-18 | 0.0 |  7.086704503259473e-06 |   7.412414378969105e-08 |
|      bfGYWPKo.spatial.lat_0 | -1.4266595463009528e-06 | -1.3231322084731929e-18 | 0.0 |  7.412414378969105e-08 |  5.8089483798541826e-06 |
