|                  Parameters |                     0 |                      1 |   2 |                      3 |                      4 |
|     aEaZD8Bs.spectral.index |  0.002472087117262864 |  9.771684514243838e-16 | 0.0 |  2.269427558887397e-06 |  6.485605754762264e-07 |
| aEaZD8Bs.spectral.amplitude | 9.771684514243838e-16 | 1.2861867237644537e-26 | 0.0 | -1.568620168350889e-18 | 2.1639030634667454e-18 |
| aEaZD8Bs.spectral.reference |                   0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |
|      aEaZD8Bs.spatial.lon_0 | 2.269427558887397e-06 | -1.568620168350889e-18 | 0.0 |   7.03805354376313e-06 |  4.396737595674363e-08 |
|      aEaZD8Bs.spatial.lat_0 | 6.485605754762264e-07 | 2.1639030634667454e-18 | 0.0 |  4.396737595674363e-08 |  5.129559071536634e-06 |
