|                  Parameters |                      0 |                       1 |   2 |                      3 |                       4 |
|     vMoWASpz.spectral.index |   0.002637683093174677 |   8.664601267588838e-16 | 0.0 | 1.0288480954259162e-06 |   2.807255079395518e-06 |
| vMoWASpz.spectral.amplitude |  8.664601267588838e-16 |   1.286552297763895e-26 | 0.0 | -7.941225678730992e-19 | -1.0379999403706434e-18 |
| vMoWASpz.spectral.reference |                    0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 |
|      vMoWASpz.spatial.lon_0 | 1.0288480954259162e-06 |  -7.941225678730992e-19 | 0.0 |  7.238635073777508e-06 |  -9.494147837181115e-09 |
|      vMoWASpz.spatial.lat_0 |  2.807255079395518e-06 | -1.0379999403706434e-18 | 0.0 | -9.494147837181115e-09 |  5.1403242898786375e-06 |
