|                  Parameters |                       0 |                       1 |   2 |                       3 |                       4 |
|     3LNfk2_o.spectral.index |    0.002503839706309217 |    9.23668166197341e-16 | 0.0 |  3.5336670229437207e-06 | -1.1336669154187047e-06 |
| 3LNfk2_o.spectral.amplitude |    9.23668166197341e-16 |  1.4948818105930749e-26 | 0.0 | -1.1509465851904868e-18 |  -8.702269609633817e-19 |
| 3LNfk2_o.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |
|      3LNfk2_o.spatial.lon_0 |  3.5336670229437207e-06 | -1.1509465851904868e-18 | 0.0 |   6.937513834543748e-06 |  -2.436636145313819e-09 |
|      3LNfk2_o.spatial.lat_0 | -1.1336669154187047e-06 |  -8.702269609633817e-19 | 0.0 |  -2.436636145313819e-09 |     5.0209909732121e-06 |
