|                  Parameters |                     0 |                      1 |   2 |                      3 |                      4 |
|     KmEVG3kS.spectral.index |  0.002241350689599384 |  7.578550280652083e-16 | 0.0 |  6.434216418466667e-07 |  8.987602777146806e-07 |
| KmEVG3kS.spectral.amplitude | 7.578550280652083e-16 | 1.5488858208494094e-26 | 0.0 | -6.832691298311553e-18 |  -2.07801505340576e-18 |
| KmEVG3kS.spectral.reference |                   0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |
|      KmEVG3kS.spatial.lon_0 | 6.434216418466667e-07 | -6.832691298311553e-18 | 0.0 |  6.099972215745805e-06 | -4.773284259142704e-08 |
|      KmEVG3kS.spatial.lat_0 | 8.987602777146806e-07 |  -2.07801505340576e-18 | 0.0 | -4.773284259142704e-08 |  4.400338975595622e-06 |
