|                  Parameters |                      0 |                      1 |   2 |                       3 |                       4 |
|     ej3j4iFb.spectral.index |   0.002099583407569914 |   8.82218529907574e-16 | 0.0 |  -9.814313693408617e-07 |   8.586415856138377e-07 |
| ej3j4iFb.spectral.amplitude |   8.82218529907574e-16 |  2.403412511517187e-27 | 0.0 |  -5.604918774047063e-18 |  2.4958634502076305e-18 |
| ej3j4iFb.spectral.reference |                    0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |
|      ej3j4iFb.spatial.lon_0 | -9.814313693408617e-07 | -5.604918774047063e-18 | 0.0 |   6.768240363713855e-06 | -1.0617127499769423e-07 |
|      ej3j4iFb.spatial.lat_0 |  8.586415856138377e-07 | 2.4958634502076305e-18 | 0.0 | -1.0617127499769423e-07 |  4.9609003135792045e-06 |
