|                  Parameters |                      0 |                       1 |   2 |                       3 |                      4 |
|     0FQQKdK5.spectral.index |  0.0025106686643954863 |   8.261590801611145e-16 | 0.0 |   5.854558504826303e-06 | 1.5976647930107455e-06 |
| 0FQQKdK5.spectral.amplitude |  8.261590801611145e-16 |  2.1065711278528376e-27 | 0.0 | -4.8179714091654094e-18 |   4.49765488805656e-18 |
| 0FQQKdK5.spectral.reference |                    0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |
|      0FQQKdK5.spatial.lon_0 |  5.854558504826303e-06 | -4.8179714091654094e-18 | 0.0 |   7.867979648087213e-06 | -8.293347771557185e-08 |
|      0FQQKdK5.spatial.lat_0 | 1.5976647930107455e-06 |    4.49765488805656e-18 | 0.0 |  -8.293347771557185e-08 |  6.276005825207672e-06 |
