|                  Parameters |                       0 |                       1 |   2 |                       3 |                       4 |
|     cPoSZebR.spectral.index |    0.002911389719150345 |   9.365673647214225e-16 | 0.0 |  7.3818427789712064e-06 | -1.8970685793763194e-06 |
| cPoSZebR.spectral.amplitude |   9.365673647214225e-16 |   2.184987980420781e-26 | 0.0 | -5.0967222278169774e-18 | -4.7869224527430426e-18 |
| cPoSZebR.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |
|      cPoSZebR.spatial.lon_0 |  7.3818427789712064e-06 | -5.0967222278169774e-18 | 0.0 |   7.657993766158302e-06 |  1.4373372025213074e-07 |
|      cPoSZebR.spatial.lat_0 | -1.8970685793763194e-06 | -4.7869224527430426e-18 | 0.0 |  1.4373372025213074e-07 |   5.452937648490633e-06 |
