|                  Parameters |                       0 |                       1 |   2 |                      3 |                       4 |
|     P9tmtjjN.spectral.index |   0.0024866499589273417 |  1.0634695929101167e-15 | 0.0 | 2.1186325570694717e-06 | -1.6721283904672152e-06 |
| P9tmtjjN.spectral.amplitude |  1.0634695929101167e-15 |    2.03684553544191e-26 | 0.0 | -8.652800347900086e-18 | -2.1099230884986355e-18 |
| P9tmtjjN.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 |
|      P9tmtjjN.spatial.lon_0 |  2.1186325570694717e-06 |  -8.652800347900086e-18 | 0.0 | 6.6988516159511865e-06 |  -6.382186775999054e-08 |
|      P9tmtjjN.spatial.lat_0 | -1.6721283904672152e-06 | -2.1099230884986355e-18 | 0.0 | -6.382186775999054e-08 |   5.007723076165226e-06 |
