|                  Parameters |                      0 |                       1 |   2 |                       3 |                      4 |
|     v-3CzVyc.spectral.index |   0.003165032546846075 |   9.266283595407013e-16 | 0.0 |  -4.350207641636239e-07 | 1.2143339955722581e-06 |
| v-3CzVyc.spectral.amplitude |  9.266283595407013e-16 |  1.3229384691502694e-26 | 0.0 | -1.0364959085472438e-17 | 1.6888301349369744e-18 |
| v-3CzVyc.spectral.reference |                    0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |
|      v-3CzVyc.spatial.lon_0 | -4.350207641636239e-07 | -1.0364959085472438e-17 | 0.0 |   8.602651119248238e-06 | 1.8306240362771733e-07 |
|      v-3CzVyc.spatial.lat_0 | 1.2143339955722581e-06 |  1.6888301349369744e-18 | 0.0 |  1.8306240362771733e-07 |  6.375755440484303e-06 |
