|                      Parameters |                      0 |                       1 |   2 |                       3 |                      4 |                      5 |                      6 |   7 |
|         rQPpt71k.spectral.index |  0.0007051524294358403 |   6.645876381941406e-16 | 0.0 |   5.428115923285161e-08 | -8.773010960271217e-09 |                    0.0 |                    0.0 | 0.0 |
|     rQPpt71k.spectral.amplitude |  6.645876381941406e-16 |   3.278306318202634e-27 | 0.0 | -1.8397582623397741e-19 |  5.276651662395204e-20 |                    0.0 |                    0.0 | 0.0 |
|     rQPpt71k.spectral.reference |                    0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|          rQPpt71k.spatial.lon_0 |  5.428115923285161e-08 | -1.8397582623397741e-19 | 0.0 |  1.6453212141553137e-06 | -4.295186398522138e-10 |                    0.0 |                    0.0 | 0.0 |
|          rQPpt71k.spatial.lat_0 | -8.773010960271217e-09 |   5.276651662395204e-20 | 0.0 |  -4.295186398522138e-10 | 1.2365225497306232e-06 |                    0.0 |                    0.0 | 0.0 |
|      w2rf61Rp-bkg.spectral.norm |                    0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.00014842859562937688 |  6.434656117747451e-05 | 0.0 |
|      w2rf61Rp-bkg.spectral.tilt |                    0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |  6.434656117747451e-05 | 0.00019539753542915133 | 0.0 |
| w2rf61Rp-bkg.spectral.reference |                    0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
