|                     Parameters |                      0 |                      1 |   2 |                      3 |   4 |   5 |   6 |                      7 |   8 |   9 |                     10 |                    11 |  12 |
|         Crablog.spectral.index |     0.4223933919975757 | -5.778252271392502e-14 | 0.0 |  -0.022127592104673157 | 0.0 | 0.0 | 0.0 |  0.0019252411622156986 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|     Crablog.spectral.amplitude | -5.778252271392502e-14 | 3.2523966786302807e-24 | 0.0 |  4.927994387774635e-14 | 0.0 | 0.0 | 0.0 |  1.373000284668758e-13 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|     Crablog.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|       Crablog.spectral.lambda_ |  -0.022127592104673157 |  4.927994387774635e-14 | 0.0 |   0.011618420754353811 | 0.0 | 0.0 | 0.0 | -0.0003361037473313553 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|         Crablog.spectral.alpha |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.lon_0 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.lat_0 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.sigma |  0.0019252411622156986 |  1.373000284668758e-13 | 0.0 | -0.0003361037473313553 | 0.0 | 0.0 | 0.0 |   0.014029963596427157 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|              Crablog.spatial.e |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|            Crablog.spatial.phi |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.00014099444950388447 |  9.58087646935096e-06 | 0.0 |
|      dataset-bkg.spectral.tilt |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |   9.58087646935096e-06 | 0.0001411957866074739 | 0.0 |
| dataset-bkg.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
