|                            Parameters |                       0 |                       1 |   2 |                       3 |                      4 |                       5 |   6 |   7 |                      8 |   9 |  10 |                      11 |                      12 |  13 |  14 |                      15 |  16 |  17 |  18 |
|                 Source.spectral.index |   0.0020448394729520505 |   2.741659113867752e-15 | 0.0 |   4.300966117130157e-15 |   0.022689668032138312 |   5.284763690782435e-05 | 0.0 | 0.0 | -6.391665916827993e-06 | 0.0 | 0.0 | -3.1647402257278635e-06 |   -8.29226590590217e-06 | 0.0 | 0.0 |  -0.0005275890633870569 | 0.0 | 0.0 | 0.0 |
|             Source.spectral.amplitude |   2.741659113867752e-15 |  3.2357009932810515e-26 | 0.0 |  1.0147785410847814e-25 |  5.309413373003812e-13 |   1.245999955241289e-15 | 0.0 | 0.0 |  -7.23075235886994e-17 | 0.0 | 0.0 |  -4.804485283172847e-17 | -1.3994852225340803e-16 | 0.0 | 0.0 | -1.2323165682774521e-14 | 0.0 | 0.0 | 0.0 |
|             Source.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |
|            Source.spectral.amplitude_ |   4.300966117130157e-15 |  1.0147785410847814e-25 | 0.0 |    4.14764279765626e-25 | 2.0648749991647652e-12 |   4.803477622810178e-15 | 0.0 | 0.0 |  -3.07470379124113e-16 | 0.0 | 0.0 | -1.5273794763777684e-16 |  -5.005063028726479e-16 | 0.0 | 0.0 | -4.4154327018621816e-14 | 0.0 | 0.0 | 0.0 |
|                  Source.spectral.mean |    0.022689668032138312 |   5.309413373003812e-13 | 0.0 |  2.0648749991647652e-12 |      10.58962925297653 |    0.025412288767322863 | 0.0 | 0.0 | -0.0016135850360100496 | 0.0 | 0.0 |  -0.0008018785198644041 |  -0.0026252740439431234 | 0.0 | 0.0 |    -0.23159741656384425 | 0.0 | 0.0 | 0.0 |
|                 Source.spectral.sigma |   5.284763690782435e-05 |   1.245999955241289e-15 | 0.0 |   4.803477622810178e-15 |   0.025412288767322863 |   6.614716101101033e-05 | 0.0 | 0.0 | -3.771007246238129e-06 | 0.0 | 0.0 | -1.8747340582238123e-06 |  -6.141744332461444e-06 | 0.0 | 0.0 |  -0.0005418279639738906 | 0.0 | 0.0 | 0.0 |
|                  Source.spatial.lon_0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |
|                  Source.spatial.lat_0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |
|                  Source.spatial.sigma |  -6.391665916827993e-06 |   -7.23075235886994e-17 | 0.0 |   -3.07470379124113e-16 | -0.0016135850360100496 |  -3.771007246238129e-06 | 0.0 | 0.0 | 4.4145441098869126e-05 | 0.0 | 0.0 |  1.0182953434834215e-07 |   4.242398693826183e-07 | 0.0 | 0.0 |   3.602230871130745e-05 | 0.0 | 0.0 | 0.0 |
|                      Source.spatial.e |                     0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |
