|                      Parameters |                       0 |   1 |                      2 |                      3 |                       4 |                       5 |                      6 |                      7 |   8 |
|      Crablog.spectral.amplitude |   1.541584030301722e-24 | 0.0 | -1.611950718978073e-14 |  3.266421675906998e-14 | -1.7555325921263717e-17 | -1.0884516008507954e-18 |                    0.0 |                    0.0 | 0.0 |
|      Crablog.spectral.reference |                     0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spectral.alpha |  -1.611950718978073e-14 | 0.0 |  0.0017896743440479587 | -0.0006888685639879614 |  1.7706491609905938e-07 |   4.007482090620901e-08 |                    0.0 |                    0.0 | 0.0 |
|           Crablog.spectral.beta |   3.266421675906998e-14 | 0.0 | -0.0006888685639879614 |  0.0016922805072058552 |   6.793443082917714e-08 |    3.09369921833095e-08 |                    0.0 |                    0.0 | 0.0 |
|           Crablog.spatial.lon_0 | -1.7555325921263717e-17 | 0.0 | 1.7706491609905938e-07 |  6.793443082917714e-08 |   2.503778703071518e-06 |  1.7181781500378414e-09 |                    0.0 |                    0.0 | 0.0 |
|           Crablog.spatial.lat_0 | -1.0884516008507954e-18 | 0.0 |  4.007482090620901e-08 |   3.09369921833095e-08 |  1.7181781500378414e-09 |  1.8748800289116412e-06 |                    0.0 |                    0.0 | 0.0 |
|      scLL_gLx-bkg.spectral.norm |                     0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 |  5.354106069013731e-05 | 4.3927488776046854e-06 | 0.0 |
|      scLL_gLx-bkg.spectral.tilt |                     0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 | 4.3927488776046854e-06 |  6.218928790524488e-05 | 0.0 |
| scLL_gLx-bkg.spectral.reference |                     0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
