|                      Parameters |                       0 |   1 |                       2 |                     3 |                       4 |                       5 |                    6 |                    7 |   8 |
|      Crablog.spectral.amplitude |   3.300150463000142e-22 | 0.0 | -3.3996775925686548e-12 | 6.942090206819832e-12 | -2.8215161075751824e-15 |   7.408266044189799e-16 |                  0.0 |                  0.0 | 0.0 |
|      Crablog.spectral.reference |                     0.0 | 0.0 |                     0.0 |                   0.0 |                     0.0 |                     0.0 |                  0.0 |                  0.0 | 0.0 |
|          Crablog.spectral.alpha | -3.3996775925686548e-12 | 0.0 |     0.38261497988061033 |   -0.1440103798568517 |  2.4925268972415964e-05 |  -4.290510027962063e-06 |                  0.0 |                  0.0 | 0.0 |
|           Crablog.spectral.beta |   6.942090206819832e-12 | 0.0 |     -0.1440103798568517 |     0.360496019448405 |   8.332041314404067e-06 |   3.836924863637432e-07 |                  0.0 |                  0.0 | 0.0 |
|           Crablog.spatial.lon_0 | -2.8215161075751824e-15 | 0.0 |  2.4925268972415964e-05 | 8.332041314404067e-06 |   0.0005402649510236484 | -2.7425986671763638e-08 |                  0.0 |                  0.0 | 0.0 |
|           Crablog.spatial.lat_0 |   7.408266044189799e-16 | 0.0 |  -4.290510027962063e-06 | 3.836924863637432e-07 | -2.7425986671763638e-08 |  0.00040483892817351193 |                  0.0 |                  0.0 | 0.0 |
|      1DYHl6Qy-bkg.spectral.norm |                     0.0 | 0.0 |                     0.0 |                   0.0 |                     0.0 |                     0.0 |   0.0115344777869159 | 0.000943695796745621 | 0.0 |
|      1DYHl6Qy-bkg.spectral.tilt |                     0.0 | 0.0 |                     0.0 |                   0.0 |                     0.0 |                     0.0 | 0.000943695796745621 | 0.013397754266672833 | 0.0 |
| 1DYHl6Qy-bkg.spectral.reference |                     0.0 | 0.0 |                     0.0 |                   0.0 |                     0.0 |                     0.0 |                  0.0 |                  0.0 | 0.0 |
