|              Parameters |                      0 |                       1 |   2 |                      3 |   4 |                       5 |                      6 |
|     Crab.spectral.index |   0.001604808176555133 |  -3.104735567818385e-14 | 0.0 | -0.0005599933029835858 | 0.0 |  -4.450607808595303e-08 | -9.474743993505388e-08 |
| Crab.spectral.amplitude | -3.104735567818385e-14 |   4.711138680218091e-24 | 0.0 | 1.6326797724546796e-14 | 0.0 | -2.2620007796378493e-18 |  5.621712513629245e-18 |
| Crab.spectral.reference |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |
|   Crab.spectral.lambda_ | -0.0005599933029835858 |  1.6326797724546796e-14 | 0.0 | 0.00029134168660555055 | 0.0 |   6.519940090883775e-09 | 1.2658400766816414e-08 |
|     Crab.spectral.alpha |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |
|      Crab.spatial.lon_0 | -4.450607808595303e-08 | -2.2620007796378493e-18 | 0.0 |  6.519940090883775e-09 | 0.0 |  1.0899861412667364e-06 | -8.577515998756789e-10 |
|      Crab.spatial.lat_0 | -9.474743993505388e-08 |   5.621712513629245e-18 | 0.0 | 1.2658400766816414e-08 | 0.0 |  -8.577515998756789e-10 |  8.221061182879077e-07 |
