|              Parameters |                       0 |                       1 |   2 |                       3 |   4 |                       5 |                      6 |
|     Crab.spectral.index |   0.0012778969464425655 | -2.0260833286199107e-14 | 0.0 | -0.00037357472554232717 | 0.0 |   7.437537404786703e-08 | -9.884335599585388e-08 |
| Crab.spectral.amplitude | -2.0260833286199107e-14 |   9.159674092855788e-25 | 0.0 |    9.74184530690969e-15 | 0.0 |   -8.44766975404922e-18 |  3.898159263573891e-18 |
| Crab.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |
|   Crab.spectral.lambda_ | -0.00037357472554232717 |    9.74184530690969e-15 | 0.0 |  0.00017765381305323474 | 0.0 | -2.3506393032404974e-08 |  3.726223140921862e-08 |
|     Crab.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |
|      Crab.spatial.lon_0 |   7.437537404786703e-08 |   -8.44766975404922e-18 | 0.0 | -2.3506393032404974e-08 | 0.0 |   1.081040625397198e-06 | 1.4310723758513826e-08 |
|      Crab.spatial.lat_0 |  -9.884335599585388e-08 |   3.898159263573891e-18 | 0.0 |   3.726223140921862e-08 | 0.0 |  1.4310723758513826e-08 |  8.173360806764322e-07 |
