|              Parameters |                      0 |                      1 |   2 |                      3 |   4 |                      5 |                      6 |
|     Crab.spectral.index |   0.011601626503315676 | -6.322789079831378e-15 | 0.0 |  -0.002027195905089293 | 0.0 | -2.181809193961396e-06 |  3.471004112446428e-06 |
| Crab.spectral.amplitude | -6.322789079831378e-15 |  7.540861359801541e-26 | 0.0 | 3.7284679233897274e-15 | 0.0 |  1.776603942652969e-17 | 2.1340472960704044e-17 |
| Crab.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |
|   Crab.spectral.lambda_ |  -0.002027195905089293 | 3.7284679233897274e-15 | 0.0 |  0.0007231179869345903 | 0.0 | 2.0987561611226347e-07 | -1.027715921428197e-06 |
|     Crab.spectral.alpha |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |
|      Crab.spatial.lon_0 | -2.181809193961396e-06 |  1.776603942652969e-17 | 0.0 | 2.0987561611226347e-07 | 0.0 |   1.60900429537221e-05 | 1.0416210893936832e-06 |
|      Crab.spatial.lat_0 |  3.471004112446428e-06 | 2.1340472960704044e-17 | 0.0 | -1.027715921428197e-06 | 0.0 | 1.0416210893936832e-06 | 1.0766100027668233e-05 |
