|              Parameters |                      0 |                       1 |   2 |                       3 |   4 |                       5 |                       6 |
|     Crab.spectral.index | 0.00015246913171295792 |  -3.629129893325269e-15 | 0.0 |   -4.99538478003477e-05 | 0.0 |  7.3164986758587406e-09 |   7.749578643678208e-09 |
| Crab.spectral.amplitude | -3.629129893325269e-15 |  3.4359522668626937e-23 | 0.0 |   1.811224182419663e-15 | 0.0 |  2.4410173182394008e-17 | -1.0806260243286232e-17 |
| Crab.spectral.reference |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |
|   Crab.spectral.lambda_ |  -4.99538478003477e-05 |   1.811224182419663e-15 | 0.0 |  2.4839025409852506e-05 | 0.0 | -2.3603832902280227e-09 |  -4.333615655664405e-09 |
|     Crab.spectral.alpha |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |
|      Crab.spatial.lon_0 | 7.3164986758587406e-09 |  2.4410173182394008e-17 | 0.0 | -2.3603832902280227e-09 | 0.0 |  1.1203687893682614e-07 |  4.5500999675424457e-10 |
|      Crab.spatial.lat_0 |  7.749578643678208e-09 | -1.0806260243286232e-17 | 0.0 |  -4.333615655664405e-09 | 0.0 |  4.5500999675424457e-10 |   8.373627767990584e-08 |
