|                  Parameters |                      0 |                       1 |   2 |                       3 |   4 |                       5 |                       6 |
|     TQLL36So.spectral.index |    0.01141584781617465 |   3.004829592612046e-16 | 0.0 |  -0.0007415620681047319 | 0.0 |  1.5146622060648196e-05 |   1.405658746120963e-05 |
| TQLL36So.spectral.amplitude |  3.004829592612046e-16 |   2.858611731473811e-27 | 0.0 |   1.508262492892573e-16 | 0.0 | -1.9387971731018288e-18 |  -9.739025952431463e-20 |
| TQLL36So.spectral.reference |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |
|   TQLL36So.spectral.lambda_ | -0.0007415620681047319 |   1.508262492892573e-16 | 0.0 |  0.00013319347085817717 | 0.0 | -1.2540806448028486e-07 | -1.5223781264610858e-07 |
|     TQLL36So.spectral.alpha |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |
|      TQLL36So.spatial.lon_0 | 1.5146622060648196e-05 | -1.9387971731018288e-18 | 0.0 | -1.2540806448028486e-07 | 0.0 |   7.473452074816232e-06 | -1.9560040545339836e-07 |
|      TQLL36So.spatial.lat_0 |  1.405658746120963e-05 |  -9.739025952431463e-20 | 0.0 | -1.5223781264610858e-07 | 0.0 | -1.9560040545339836e-07 |   5.565589263306483e-06 |
