|                  Parameters |                       0 |                       1 |   2 |                       3 |   4 |                       5 |                       6 |
|     TQLL36So.spectral.index |    0.006332082267880945 |   4.633285440936127e-16 | 0.0 |  -0.0011384487816044645 | 0.0 | -3.0066835741354248e-06 | -1.8732327684675097e-06 |
| TQLL36So.spectral.amplitude |   4.633285440936127e-16 |   4.031090587403132e-27 | 0.0 |   4.460281727910615e-16 | 0.0 | -5.9277773961205985e-18 |  -8.075371821905504e-18 |
| TQLL36So.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |
|   TQLL36So.spectral.lambda_ |  -0.0011384487816044645 |   4.460281727910615e-16 | 0.0 |  0.00038607413888578745 | 0.0 |  1.2782675131939012e-06 | -2.2910172599790208e-07 |
|     TQLL36So.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |
|      TQLL36So.spatial.lon_0 | -3.0066835741354248e-06 | -5.9277773961205985e-18 | 0.0 |  1.2782675131939012e-06 | 0.0 |   6.999408917958006e-06 |   8.320913777045796e-08 |
|      TQLL36So.spatial.lat_0 | -1.8732327684675097e-06 |  -8.075371821905504e-18 | 0.0 | -2.2910172599790208e-07 | 0.0 |   8.320913777045796e-08 |   5.231048824218682e-06 |
