|                  Parameters |                       0 |                       1 |   2 |                      3 |   4 |                       5 |                       6 |
|     TQLL36So.spectral.index |    0.008470135421136468 | -1.8304556726987135e-16 | 0.0 | -0.0009333974492807882 | 0.0 |  6.8221415448796245e-06 | -1.6681427416329516e-06 |
| TQLL36So.spectral.amplitude | -1.8304556726987135e-16 |  3.4737394708538766e-27 | 0.0 | 4.1689238689391123e-16 | 0.0 | -1.5613733753077947e-18 | -1.0556617835553552e-18 |
| TQLL36So.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |
|   TQLL36So.spectral.lambda_ |  -0.0009333974492807882 |  4.1689238689391123e-16 | 0.0 |  0.0002871199466814018 | 0.0 |   6.953056728100686e-07 |  -4.587828808226209e-07 |
|     TQLL36So.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |
|      TQLL36So.spatial.lon_0 |  6.8221415448796245e-06 | -1.5613733753077947e-18 | 0.0 |  6.953056728100686e-07 | 0.0 |  7.5307697418372076e-06 |   -7.04804275606078e-08 |
|      TQLL36So.spatial.lat_0 | -1.6681427416329516e-06 | -1.0556617835553552e-18 | 0.0 | -4.587828808226209e-07 | 0.0 |   -7.04804275606078e-08 |   5.460030627084671e-06 |
