|                  Parameters |                      0 |                      1 |   2 |                      3 |   4 |                       5 |                       6 |
|     TQLL36So.spectral.index |   0.005722496684164951 | -2.362466613516084e-16 | 0.0 | -0.0009368763807007709 | 0.0 |   7.724939083899668e-06 |  1.3473143291791602e-06 |
| TQLL36So.spectral.amplitude | -2.362466613516084e-16 | 3.3744309184955806e-27 | 0.0 |  4.416069416628858e-16 | 0.0 |  -4.642581386273585e-18 |  3.2193337642478587e-18 |
| TQLL36So.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |
|   TQLL36So.spectral.lambda_ | -0.0009368763807007709 |  4.416069416628858e-16 | 0.0 | 0.00032201694742908267 | 0.0 |  -1.261621859160335e-07 |   9.487142754636591e-08 |
|     TQLL36So.spectral.alpha |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |
|      TQLL36So.spatial.lon_0 |  7.724939083899668e-06 | -4.642581386273585e-18 | 0.0 | -1.261621859160335e-07 | 0.0 |   7.244617753894568e-06 | -2.7517827236569603e-07 |
|      TQLL36So.spatial.lat_0 | 1.3473143291791602e-06 | 3.2193337642478587e-18 | 0.0 |  9.487142754636591e-08 | 0.0 | -2.7517827236569603e-07 |   5.645579652334627e-06 |
