|                  Parameters |                       0 |                      1 |   2 |                      3 |   4 |                      5 |                       6 |
|     TQLL36So.spectral.index |    0.005122220412819877 |  4.405590323605142e-16 | 0.0 | -0.0006456592194459219 | 0.0 |   4.46595856336583e-06 | -2.4237487270881774e-06 |
| TQLL36So.spectral.amplitude |   4.405590323605142e-16 |  2.877242984653789e-27 | 0.0 | 1.4808279773433685e-16 | 0.0 | -7.099968105637038e-18 |   6.633702640656541e-18 |
| TQLL36So.spectral.reference |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |
|   TQLL36So.spectral.lambda_ |  -0.0006456592194459219 | 1.4808279773433685e-16 | 0.0 | 0.00014517326574484054 | 0.0 | -5.624545580675532e-07 |   3.604344623785001e-07 |
|     TQLL36So.spectral.alpha |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |
|      TQLL36So.spatial.lon_0 |    4.46595856336583e-06 | -7.099968105637038e-18 | 0.0 | -5.624545580675532e-07 | 0.0 |  6.271608994052024e-06 |  -6.511198889538693e-08 |
|      TQLL36So.spatial.lat_0 | -2.4237487270881774e-06 |  6.633702640656541e-18 | 0.0 |  3.604344623785001e-07 | 0.0 | -6.511198889538693e-08 |    4.87897480258863e-06 |
