|                  Parameters |                      0 |                      1 |   2 |                       3 |   4 |                       5 |                      6 |
|     TQLL36So.spectral.index |   0.005544618332274641 | -5.343664538769967e-16 | 0.0 |  -0.0008294606756883772 | 0.0 |  3.4240114489270117e-06 |  3.501962656899703e-06 |
| TQLL36So.spectral.amplitude | -5.343664538769967e-16 |  3.299625806831137e-27 | 0.0 |  4.4032768634482603e-16 | 0.0 |  -5.768272567095343e-18 | -8.967459147852712e-19 |
| TQLL36So.spectral.reference |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |
|   TQLL36So.spectral.lambda_ | -0.0008294606756883772 | 4.4032768634482603e-16 | 0.0 |  0.00028919202338813466 | 0.0 | -3.1999528587430333e-07 | -6.241135035245149e-07 |
|     TQLL36So.spectral.alpha |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |
|      TQLL36So.spatial.lon_0 | 3.4240114489270117e-06 | -5.768272567095343e-18 | 0.0 | -3.1999528587430333e-07 | 0.0 |   8.175225467309894e-06 | 3.3970560985890334e-07 |
|      TQLL36So.spatial.lat_0 |  3.501962656899703e-06 | -8.967459147852712e-19 | 0.0 |  -6.241135035245149e-07 | 0.0 |  3.3970560985890334e-07 |  5.900182408556228e-06 |
