|                  Parameters |                      0 |                       1 |   2 |                      3 |   4 |                      5 |                       6 |
|     TQLL36So.spectral.index |   0.005870018050150769 |   -5.00827973445213e-16 | 0.0 | -0.0009596066274701206 | 0.0 | 3.0031703595315437e-06 |  1.4173522708703768e-06 |
| TQLL36So.spectral.amplitude |  -5.00827973445213e-16 |   3.527914892029903e-27 | 0.0 |  5.123206354577763e-16 | 0.0 |  -3.98178622335652e-18 | -2.1162091521419094e-19 |
| TQLL36So.spectral.reference |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |
|   TQLL36So.spectral.lambda_ | -0.0009596066274701206 |   5.123206354577763e-16 | 0.0 |  0.0003506590063078171 | 0.0 | 1.9214188219694723e-07 |   3.861201802977934e-07 |
|     TQLL36So.spectral.alpha |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |
|      TQLL36So.spatial.lon_0 | 3.0031703595315437e-06 |   -3.98178622335652e-18 | 0.0 | 1.9214188219694723e-07 | 0.0 |  7.779098148523788e-06 |   2.679265437672615e-07 |
|      TQLL36So.spatial.lat_0 | 1.4173522708703768e-06 | -2.1162091521419094e-19 | 0.0 |  3.861201802977934e-07 | 0.0 |  2.679265437672615e-07 |   5.995935167134163e-06 |
