|                      Parameters |                       0 |   1 |                       2 |                       3 |                       4 |                       5 |                     6 |                     7 |   8 |
|      Crablog.spectral.amplitude |   1.524780598266285e-24 | 0.0 | -1.6194579013471858e-14 |    3.26268081019112e-14 | -1.3127342945395298e-17 |  1.0854152834241143e-17 |                   0.0 |                   0.0 | 0.0 |
|      Crablog.spectral.reference |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |
|          Crablog.spectral.alpha | -1.6194579013471858e-14 | 0.0 |   0.0018476436018601623 |  -0.0007430459160668853 |  2.2200288505113608e-07 |  -4.835005783284595e-07 |                   0.0 |                   0.0 | 0.0 |
|           Crablog.spectral.beta |    3.26268081019112e-14 | 0.0 |  -0.0007430459160668853 |   0.0017146744576712425 | -3.9248659745206745e-07 |   5.076460684404264e-07 |                   0.0 |                   0.0 | 0.0 |
|           Crablog.spatial.lon_0 | -1.3127342945395298e-17 | 0.0 |  2.2200288505113608e-07 | -3.9248659745206745e-07 |   2.598008820568472e-06 | -3.2793974579422934e-09 |                   0.0 |                   0.0 | 0.0 |
|           Crablog.spatial.lat_0 |  1.0854152834241143e-17 | 0.0 |  -4.835005783284595e-07 |   5.076460684404264e-07 | -3.2793974579422934e-09 |   1.906903197236398e-06 |                   0.0 |                   0.0 | 0.0 |
|      uvZsB8FY-bkg.spectral.norm |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 5.340790753930089e-05 | 3.687777281703596e-06 | 0.0 |
|      uvZsB8FY-bkg.spectral.tilt |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 3.687777281703596e-06 | 6.342777979041938e-05 | 0.0 |
| uvZsB8FY-bkg.spectral.reference |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |
