|                      Parameters |                       0 |   1 |                       2 |                      3 |                       4 |                       5 |                      6 |                     7 |   8 |
|      Crablog.spectral.amplitude |  1.4785984322118785e-24 | 0.0 | -1.6117716130424105e-14 |   2.84418878667257e-14 | -1.0343397233987598e-18 |  1.1872832710726197e-17 |                    0.0 |                   0.0 | 0.0 |
|      Crablog.spectral.reference |                     0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                    0.0 |                   0.0 | 0.0 |
|          Crablog.spectral.alpha | -1.6117716130424105e-14 | 0.0 |   0.0016314827784866459 | -0.0006092519467997848 |  1.7301833675184296e-07 | -3.3203417208346486e-07 |                    0.0 |                   0.0 | 0.0 |
|           Crablog.spectral.beta |    2.84418878667257e-14 | 0.0 |  -0.0006092519467997848 |  0.0013633486059620372 |  1.6861027500231485e-07 |   4.823784834125412e-07 |                    0.0 |                   0.0 | 0.0 |
|           Crablog.spatial.lon_0 | -1.0343397233987598e-18 | 0.0 |  1.7301833675184296e-07 | 1.6861027500231485e-07 |  2.3779895396169303e-06 |  -4.177422904784101e-09 |                    0.0 |                   0.0 | 0.0 |
|           Crablog.spatial.lat_0 |  1.1872832710726197e-17 | 0.0 | -3.3203417208346486e-07 |  4.823784834125412e-07 |  -4.177422904784101e-09 |  1.7525813076141989e-06 |                    0.0 |                   0.0 | 0.0 |
|      M6tUNSxn-bkg.spectral.norm |                     0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 | 5.3145071405070455e-05 | 3.996968555353401e-06 | 0.0 |
|      M6tUNSxn-bkg.spectral.tilt |                     0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |  3.996968555353401e-06 | 6.321527824194078e-05 | 0.0 |
| M6tUNSxn-bkg.spectral.reference |                     0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                    0.0 |                   0.0 | 0.0 |
