|                   Parameters |                     0 |                      1 |   2 |                    3 |                      4 |                      5 |   6 |   7 |   8 |   9 |  10 |  11 |  12 |                      13 |                      14 |                      15 |                      16 |                      17 |                      18 |                      19 |                      20 |                      21 |                      22 |                      23 |                      24 |                      25 |                      26 |                      27 |                      28 |                      29 |                      30 |                      31 |                      32 |
|  yt6bVGLv-bkg.spectral.norm3 |                   0.0 |                    0.0 | 0.0 |                  0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|  yt6bVGLv-bkg.spectral.norm4 |                   0.0 |                    0.0 | 0.0 |                  0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   2.408121849089153e-05 |  1.7634102365612475e-05 |  -4.284790611828209e-06 |  -8.032478011888295e-07 |    1.87400612034544e-06 | -1.3329087635183226e-06 |   4.722703950075368e-07 |  1.3785879338358007e-07 |  -3.724125011001978e-07 |   3.239155600654388e-07 | -1.4980272150933844e-07 |  -2.062901792411131e-08 |   1.169687356073047e-07 | -1.2560444827180642e-07 |   6.800624745251796e-08 |   1.901291656119728e-08 |   -9.64726770591148e-08 |  1.1913214875057025e-07 |  -4.464657156747718e-09 | -4.6983316999237594e-07 |
|  yt6bVGLv-bkg.spectral.norm5 |                   0.0 |                    0.0 | 0.0 |                  0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.7634102365612475e-05 |  2.6317332077793668e-05 |   7.298058522362542e-06 | -3.4460374464928895e-06 |   9.551330741363597e-07 |  2.8602361877323347e-07 |  -6.312096735853256e-07 |   4.896954227268312e-07 | -1.9807585027058308e-07 |  -4.194017424125366e-08 |  1.5343424324119674e-07 | -1.4761913591825127e-07 |   7.460311879269286e-08 |  1.0724330514979571e-08 |  -6.925049806852147e-08 |   8.061822009184012e-08 |  -3.962360896481604e-08 |  -5.095887493856867e-08 |  1.6267053645169893e-07 |   7.885967705730118e-08 |
|  yt6bVGLv-bkg.spectral.norm6 |                   0.0 |                    0.0 | 0.0 |                  0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -4.284790611828209e-06 |   7.298058522362542e-06 |  1.7597915502493233e-05 |   5.017125555203645e-06 |  -2.776189195613082e-06 |   9.707879389480412e-07 |  1.0570317464297519e-07 |  -5.061600526358102e-07 |   4.614758793725259e-07 |  -2.282948547963395e-07 |  -2.397529832984464e-09 |    1.34740503179235e-07 | -1.5363548656663773e-07 |   9.197436982000812e-08 |  1.0507681530626752e-09 |  -7.999130231756692e-08 |  1.0900344920494379e-07 | -5.4666306513982226e-08 | -1.2756842565589896e-07 |   3.118623780576424e-07 |
|  yt6bVGLv-bkg.spectral.norm7 |                   0.0 |                    0.0 | 0.0 |                  0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -8.032478011888295e-07 | -3.4460374464928895e-06 |   5.017125555203645e-06 |  1.2772201131017242e-05 |  3.6648070230771247e-06 |  -2.132036729299287e-06 |    7.98808368558204e-07 |   5.567462816555878e-08 | -4.0674098122944324e-07 |   3.938321761798977e-07 | -2.0646451278860927e-07 |  3.5446022148136507e-09 |   1.236830551896762e-07 |  -1.493873663157197e-07 |   9.245137617235556e-08 |   7.761337519766497e-09 | -1.0602105417332248e-07 |   1.491778018066224e-07 | -3.4191322529404904e-08 |  -5.649176606720536e-07 |
|  yt6bVGLv-bkg.spectral.norm8 |                   0.0 |                    0.0 | 0.0 |                  0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |    1.87400612034544e-06 |   9.551330741363597e-07 |  -2.776189195613082e-06 |  3.6648070230771247e-06 |  1.0261767057843753e-05 |  2.8777248287065655e-06 | -1.7718551810604319e-06 |   7.216823005994288e-07 |    7.64715421523087e-09 |  -3.424606882563695e-07 |   3.596469855949484e-07 | -2.0311868578526514e-07 |  1.1469539231137798e-08 |    1.22725593181979e-07 | -1.6020837192454154e-07 |   1.028978526824212e-07 |  2.3742640712900814e-08 | -1.7665069100588971e-07 |   2.442016288780672e-07 |   5.175163526725398e-07 |
|  yt6bVGLv-bkg.spectral.norm9 |                   0.0 |                    0.0 | 0.0 |                  0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.3329087635183226e-06 |  2.8602361877323347e-07 |   9.707879389480412e-07 |  -2.132036729299287e-06 |  2.8777248287065655e-06 |   8.804255667072803e-06 |   2.481671390039979e-06 | -1.6024890765056434e-06 |   6.924109221750964e-07 | -1.4728761665739828e-08 | -3.2391050333495507e-07 |  3.6104044222315493e-07 | -2.1363960347552476e-07 |  1.1764764248929817e-08 |   1.443552824678292e-07 | -1.9682204634788365e-07 |  1.2173326669387855e-07 |   8.627280105865183e-08 |   -3.85354728332055e-07 |  -5.359093947199208e-08 |
| yt6bVGLv-bkg.spectral.norm10 |                   0.0 |                    0.0 | 0.0 |                  0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   4.722703950075368e-07 |  -6.312096735853256e-07 |  1.0570317464297519e-07 |    7.98808368558204e-07 | -1.7718551810604319e-06 |   2.481671390039979e-06 |   7.966927574116384e-06 |   2.293740251676554e-06 | -1.5289550194459123e-06 |   6.819418665467544e-07 | -1.6570616478384978e-08 | -3.3666176162194525e-07 |   3.868111915317099e-07 | -2.3212544944795365e-07 |  -5.878359042046445e-10 |  1.9785435735799248e-07 |  -2.708166690295603e-07 |  1.3670046185231711e-07 |   3.155170502403914e-07 |  -7.765220435172887e-07 |
| yt6bVGLv-bkg.spectral.norm11 |                   0.0 |                    0.0 | 0.0 |                  0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.3785879338358007e-07 |   4.896954227268312e-07 |  -5.061600526358102e-07 |   5.567462816555878e-08 |   7.216823005994288e-07 | -1.6024890765056434e-06 |   2.293740251676554e-06 |   7.589787172630654e-06 |   2.232704486829933e-06 | -1.5271054636781932e-06 |   6.962562714017563e-07 |   -9.79277147113059e-09 | -3.7614303427393805e-07 |   4.411986634569228e-07 |  -2.636300225631966e-07 | -3.3106496912849735e-08 |   3.154962317536661e-07 |   -4.28546042078867e-07 |   7.639750750265925e-08 |  1.6397507890158885e-06 |
| yt6bVGLv-bkg.spectral.norm12 |                   0.0 |                    0.0 | 0.0 |                  0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -3.724125011001978e-07 | -1.9807585027058308e-07 |   4.614758793725259e-07 | -4.0674098122944324e-07 |    7.64715421523087e-09 |   6.924109221750964e-07 | -1.5289550194459123e-06 |   2.232704486829933e-06 |   7.594666816393529e-06 |  2.2875968844124433e-06 | -1.6051603041894915e-06 |   7.454960417384843e-07 |   5.870031575937091e-09 | -4.5632457427050073e-07 |   5.443593597567248e-07 |  -3.148405187765131e-07 |  -1.251930344411353e-07 |   6.160852012339588e-07 |  -7.636669323722227e-07 | -1.8701844414345384e-06 |
| yt6bVGLv-bkg.spectral.norm13 |                   0.0 |                    0.0 | 0.0 |                  0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   3.239155600654388e-07 |  -4.194017424125366e-08 |  -2.282948547963395e-07 |   3.938321761798977e-07 |  -3.424606882563695e-07 | -1.4728761665739828e-08 |   6.819418665467544e-07 | -1.5271054636781932e-06 |  2.2875968844124433e-06 |   7.975841991645476e-06 |   2.477290161934656e-06 | -1.7843922884186678e-06 |   8.397205075335572e-07 |   4.194324398666777e-08 |  -6.111672395226376e-07 |   7.352415898744896e-07 |   -3.79901622729137e-07 | -4.2811158201846707e-07 |  1.4568777455981501e-06 |   6.158194023233135e-07 |
| yt6bVGLv-bkg.spectral.norm14 |                   0.0 |                    0.0 | 0.0 |                  0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.4980272150933844e-07 |  1.5343424324119674e-07 |  -2.397529832984464e-09 | -2.0646451278860927e-07 |   3.596469855949484e-07 | -3.2391050333495507e-07 | -1.6570616478384978e-08 |   6.962562714017563e-07 | -1.6051603041894915e-06 |   2.477290161934656e-06 |    8.82089593800803e-06 |  2.8505807431401543e-06 |  -2.111419628337799e-06 |  1.0005148136619872e-06 |  1.2347966808236782e-07 |  -9.176958106781189e-07 |   1.102788001122862e-06 | -4.0495339311619546e-07 |  -1.517404964486653e-06 |  2.7034490698653977e-06 |
| yt6bVGLv-bkg.spectral.norm15 |                   0.0 |                    0.0 | 0.0 |                  0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -2.062901792411131e-08 | -1.4761913591825127e-07 |    1.34740503179235e-07 |  3.5446022148136507e-09 | -2.0311868578526514e-07 |  3.6104044222315493e-07 | -3.3666176162194525e-07 |   -9.79277147113059e-09 |   7.454960417384843e-07 | -1.7843922884186678e-06 |  2.8505807431401543e-06 |  1.0353696577234827e-05 |   3.520716071817281e-06 | -2.6939903760320756e-06 |  1.2764377065957339e-06 |  3.2208305889643446e-07 | -1.6014375828169436e-06 |   1.915194508469457e-06 |  2.7618463366924563e-08 |  -7.513619341666111e-06 |
| yt6bVGLv-bkg.spectral.norm16 |                   0.0 |                    0.0 | 0.0 |                  0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   1.169687356073047e-07 |   7.460311879269286e-08 | -1.5363548656663773e-07 |   1.236830551896762e-07 |  1.1469539231137798e-08 | -2.1363960347552476e-07 |   3.868111915317099e-07 | -3.7614303427393805e-07 |   5.870031575937091e-09 |   8.397205075335572e-07 |  -2.111419628337799e-06 |   3.520716071817281e-06 |  1.3056113829005209e-05 |   4.748791914380079e-06 |  -3.780495360529076e-06 |  1.7579938637400601e-06 |   9.125286679303249e-07 |   -3.46877319541647e-06 |  3.7910179104175743e-06 |  1.0753521223357234e-05 |
| yt6bVGLv-bkg.spectral.norm17 |                   0.0 |                    0.0 | 0.0 |                  0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.2560444827180642e-07 |  1.0724330514979571e-08 |   9.197436982000812e-08 |  -1.493873663157197e-07 |    1.22725593181979e-07 |  1.1764764248929817e-08 | -2.3212544944795365e-07 |   4.411986634569228e-07 | -4.5632457427050073e-07 |   4.194324398666777e-08 |  1.0005148136619872e-06 | -2.6939903760320756e-06 |   4.748791914380079e-06 |  1.8014221513315615e-05 |   7.169112178391057e-06 |  -5.980994301710443e-06 |  2.5732163458237125e-06 |  3.0649404131275352e-06 |  -9.430394811239761e-06 |  -5.246148518719553e-06 |
| yt6bVGLv-bkg.spectral.norm18 |                   0.0 |                    0.0 | 0.0 |                  0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   6.800624745251796e-08 |  -6.925049806852147e-08 |  1.0507681530626752e-09 |   9.245137617235556e-08 | -1.6020837192454154e-07 |   1.443552824678292e-07 |  -5.878359042046445e-10 |  -2.636300225631966e-07 |   5.443593597567248e-07 |  -6.111672395226376e-07 |  1.2347966808236782e-07 |  1.2764377065957339e-06 |  -3.780495360529076e-06 |   7.169112178391057e-06 |  2.7960636529626113e-05 |   1.254173235710278e-05 | -1.1080138422072435e-05 |  3.7997476545688615e-06 |  1.2305325550680016e-05 | -2.1258703965789838e-05 |
| yt6bVGLv-bkg.spectral.norm19 |                   0.0 |                    0.0 | 0.0 |                  0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   1.901291656119728e-08 |   8.061822009184012e-08 |  -7.999130231756692e-08 |   7.761337519766497e-09 |   1.028978526824212e-07 | -1.9682204634788365e-07 |  1.9785435735799248e-07 | -3.3106496912849735e-08 |  -3.148405187765131e-07 |   7.352415898744896e-07 |  -9.176958106781189e-07 |  3.2208305889643446e-07 |  1.7579938637400601e-06 |  -5.980994301710443e-06 |   1.254173235710278e-05 |   5.084800921173093e-05 |   2.702967017343881e-05 | -2.6023614282057758e-05 |  3.2874344479922417e-06 |   8.122365951050127e-05 |
| yt6bVGLv-bkg.spectral.norm20 |                   0.0 |                    0.0 | 0.0 |                  0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   -9.64726770591148e-08 |  -3.962360896481604e-08 |  1.0900344920494379e-07 | -1.0602105417332248e-07 |  2.3742640712900814e-08 |  1.2173326669387855e-07 |  -2.708166690295603e-07 |   3.154962317536661e-07 |  -1.251930344411353e-07 |   -3.79901622729137e-07 |   1.102788001122862e-06 | -1.6014375828169436e-06 |   9.125286679303249e-07 |  2.5732163458237125e-06 | -1.1080138422072435e-05 |   2.702967017343881e-05 |  0.00011473828739735309 |   7.990250531650219e-05 |  -8.363445037491514e-05 | -0.00014766822765982794 |
| yt6bVGLv-bkg.spectral.norm21 |                   0.0 |                    0.0 | 0.0 |                  0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.1913214875057025e-07 |  -5.095887493856867e-08 | -5.4666306513982226e-08 |   1.491778018066224e-07 | -1.7665069100588971e-07 |   8.627280105865183e-08 |  1.3670046185231711e-07 |   -4.28546042078867e-07 |   6.160852012339588e-07 | -4.2811158201846707e-07 | -4.0495339311619546e-07 |   1.915194508469457e-06 |   -3.46877319541647e-06 |  3.0649404131275352e-06 |  3.7997476545688615e-06 | -2.6023614282057758e-05 |   7.990250531650219e-05 |  0.00035387736486792813 |   0.0003647682953495152 |  -0.0001066183110585183 |
| yt6bVGLv-bkg.spectral.norm22 |                   0.0 |                    0.0 | 0.0 |                  0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -4.464657156747718e-09 |  1.6267053645169893e-07 | -1.2756842565589896e-07 | -3.4191322529404904e-08 |   2.442016288780672e-07 |   -3.85354728332055e-07 |   3.155170502403914e-07 |   7.639750750265925e-08 |  -7.636669323722227e-07 |  1.4568777455981501e-06 |  -1.517404964486653e-06 |  2.7618463366924563e-08 |  3.7910179104175743e-06 |  -9.430394811239761e-06 |  1.2305325550680016e-05 |  3.2874344479922417e-06 |  -8.363445037491514e-05 |   0.0003647682953495152 |   0.0018460870322584452 |    0.003350222865358193 |
| yt6bVGLv-bkg.spectral.norm23 |                   0.0 |                    0.0 | 0.0 |                  0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -4.6983316999237594e-07 |   7.885967705730118e-08 |   3.118623780576424e-07 |  -5.649176606720536e-07 |   5.175163526725398e-07 |  -5.359093947199208e-08 |  -7.765220435172887e-07 |  1.6397507890158885e-06 | -1.8701844414345384e-06 |   6.158194023233135e-07 |  2.7034490698653977e-06 |  -7.513619341666111e-06 |  1.0753521223357234e-05 |  -5.246148518719553e-06 | -2.1258703965789838e-05 |   8.122365951050127e-05 | -0.00014766822765982794 |  -0.0001066183110585183 |    0.003350222865358193 |    0.011119560429274259 |
