| modelparameters |    0 |    1 |    2 |    3 |                   4 |                   5 |                   6 |                   7 |                   8 |                   9 |                  10 |                  11 |                  12 |                  13 |                  14 |                  15 |                  16 |                  17 |                  18 |                  19 |                  20 |                  21 |                  22 |                  23 |
|           norm0 |  1.0 |  0.0 |  0.0 |  0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |
|           norm1 |  0.0 |  1.0 |  0.0 |  0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |
|           norm2 |  0.0 |  0.0 |  1.0 |  0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |
|           norm3 | -0.0 | -0.0 | -0.0 |  1.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |
|           norm4 |  0.0 |  0.0 |  0.0 |  0.0 |   689.6284153512464 | -2727.5393237159515 |   6049.531453862244 |  -9973.856727513654 |  13669.362859345667 |  -16509.53188799816 |   18187.92017265419 |  -18673.37236573825 |  18109.612023647078 | -16722.545441556325 |  14757.594555246544 | -12446.542186269122 |   9995.135966900736 |  -7581.853136042729 |    5359.86026159443 | -3456.1561796767774 |   1963.968836084373 |  -927.7256953395554 |   325.7581174222378 |   -64.1454347840147 |
|           norm5 |  0.0 |  0.0 |  0.0 |  0.0 | -2727.5393237158632 |  11471.313102502565 |   -26623.6530388272 |   45410.69532286802 |   -63854.6775682345 |   78644.49990782746 |  -87945.76598773093 |   91337.48165441622 |  -89368.74324145164 |    83090.9997204266 |  -73717.42308741441 |   62429.29365830218 |  -50293.70288584725 |  38245.118932230514 | -27088.818461857583 |  17493.627666982735 |   -9952.37197859497 |   4705.490063077964 | -1653.4328135625303 |  325.75811742457324 |
|           norm6 |  0.0 |  0.0 |  0.0 |  0.0 |   6049.531453865226 | -26623.653038843346 |  64384.899097525085 |  -113677.7019690777 |  164392.83114432087 |   -207046.372279398 |  235660.03866314996 |   -248170.172078927 |   245476.5346769676 | -230182.26009490833 |   205575.9848897383 | -175001.30578781015 |  141553.84114455304 | -107982.24284804125 |   76671.29165979006 |  -49608.20882589173 |  28264.914307334733 |   -13379.2043581803 |   4705.490063114029 |  -927.7256953532969 |
|           norm7 |  0.0 |  0.0 |  0.0 |  0.0 |  -9973.856727517523 |  45410.695322889376 | -113677.70196904222 |  207385.30462114958 |   -308730.921019222 |   398515.0587121378 | -462881.58144506236 |   495527.0288227954 |  -496637.2123559061 |  470585.14664370706 |  -423763.5150114241 |  363089.93154000584 |  -295195.4565163146 |   226087.1176885813 | -161032.66337397788 |  104446.95923368749 |  -59623.63810860258 |  28264.914307558225 |  -9952.371978749678 |  1963.9688361288654 |
|           norm8 |  0.0 |  0.0 |  0.0 |  0.0 |  13669.362859350349 |  -63854.67756826065 |  164392.83114422706 | -308730.92101915187 |   472737.3454017988 |  -626129.3838965291 |   743759.9423077004 |  -811420.8441136504 |    826019.098718269 |  -792654.4820388955 |   721072.8807125246 |   -622847.166917617 |  509633.23582796106 | -392298.73530323314 |  280530.01120239176 | -182521.40493914657 |  104446.95923450608 |  -49608.20882667072 |   17493.62766738991 | -3456.1561797815407 |
|           norm9 |  0.0 |  0.0 |  0.0 |  0.0 | -16509.531888016554 |   78644.49990792206 | -207046.37227940603 |  398515.05871234013 |   -626129.383897058 |    850650.467637961 | -1034682.0589855631 |   1152798.435631032 | -1194868.5970897079 |  1163975.3057783828 | -1071988.1376740532 |   935232.9313602245 |  -771369.7135379359 |   597557.0415720645 | -429461.48938386526 |  280530.01120448695 | -161032.66337643366 |    76671.2916615553 | -27088.818462683324 |    5359.86026179483 |
|          norm10 | -0.0 | -0.0 | -0.0 | -0.0 |  18187.920172686798 |  -87945.76598789549 |  235660.03866325092 |  -462881.5814455187 |   743759.9423087256 | -1034682.0589860082 |   1288672.352277737 |  -1468237.472256951 |  1552729.2384215826 | -1539165.0173696908 |  1438487.3515343873 | -1270277.8338210678 |  1058090.0285504076 |   -826198.476781263 |   597557.0415761663 | -392298.73530882655 |  226087.11769353494 |  -107982.2428512288 |  38245.118933637845 |   -7581.85313637272 |
|          norm11 |  0.0 |  0.0 |  0.0 |  0.0 |  -18673.37236578585 |   91337.48165465455 | -248170.17207912818 |  495527.02882351365 |  -811420.8441151782 |   1152798.435631923 | -1468237.4722573874 |  1710943.7263463794 |  -1848711.753645273 |  1868694.2685581588 | -1776516.2345799871 |  1591658.2925373483 | -1341821.4012717085 |  1058090.0285568465 |  -771369.7135478554 |  509633.23583819927 |  -295195.4565244394 |  141553.84114949068 |  -50293.70288795447 |   9995.135967384154 |
|          norm12 |  0.0 |  0.0 |  0.0 |  0.0 |   18109.61202370686 |  -89368.74324174959 |    245476.534677238 | -496637.21235681465 |   826019.0987201739 | -1194868.5970908913 |  1552729.2384222727 |  -1848711.753645513 |  2041636.7482534768 |  -2107450.988524472 |  2042338.7197152863 | -1860993.5173320454 |  1591658.2925458185 | -1270277.8338354286 |   935232.9313769527 |  -622847.1669330937 |   363089.9315516115 | -175001.30579463055 |   62429.29366115115 | -12446.542186913386 |
|          norm13 | -0.0 | -0.0 | -0.0 | -0.0 |  -16722.54544162367 |    83090.9997207638 |  -230182.2600952143 |  470585.14664472686 |  -792654.4820410444 |  1163975.3057797416 | -1539165.0173705425 |   1868694.268558606 | -2107450.9885247466 |  2222498.0800753385 |  -2198954.646094065 |  2042338.7197248247 | -1776516.2345975467 |  1438487.3515569083 | -1071988.1376975651 |   721072.8807330853 |  -423763.5150263392 |  205575.98489832104 |  -73717.42309094967 |  14757.594556038282 |
|          norm14 |  0.0 |  0.0 |  0.0 |  0.0 |  14757.594555307587 |  -73717.42308772277 |  205575.98488992202 |  -423763.5150122127 |   721072.8807143259 | -1071988.1376748038 |  1438487.3515343997 | -1776516.2345794435 |  2042338.7197144611 | -2198954.6460928386 |   2222498.080084885 | -2107450.9885431323 |  1868694.2685840363 |  -1539165.017399383 |  1163975.3058076487 |  -792654.4820636421 |  470585.14666128217 | -230182.26010488076 |   83090.99972449492 |  -16722.54544246129 |
|          norm15 | -0.0 | -0.0 | -0.0 | -0.0 | -12446.542186314358 |   62429.29365853628 | -175001.30578778786 |   363089.9315403719 |  -622847.1669187364 |   935232.9313599932 | -1270277.8338198124 |  1591658.2925353472 | -1860993.5173296311 |   2042338.719721888 | -2107450.9885413856 |  2041636.7482785685 | -1848711.7536766904 |  1552729.2384557805 |  -1194868.597122389 |   826019.0987453742 |  -496637.2123749135 |  245476.53468766066 |  -89368.74324578821 |   18109.61202460778 |
|          norm16 |  0.0 |  0.0 |  0.0 |  0.0 |    9995.13596692368 | -50293.702885975465 |  141553.84114428065 | -295195.45651614293 |   509633.2358281809 |  -771369.7135365171 |  1058090.0285476628 |  -1341821.401268004 |  1591658.2925415367 | -1776516.2345926147 |  1868694.2685801813 | -1848711.7536745023 |   1710943.726380586 |  -1468237.472292918 |  1152798.4356646664 |  -811420.8441411551 |    495527.028841901 |  -248170.1720896058 |   91337.48165872728 |  -18673.37236669018 |
|          norm17 | -0.0 | -0.0 | -0.0 | -0.0 |  -7581.853136042935 |  38245.118932249374 | -107982.24284754953 |   226087.1176879096 | -392298.73530258355 |   597557.0415696022 |   -826198.476777256 |   1058090.028551714 |   -1270277.83382957 |  1438487.3515502936 |  -1539165.017393656 |  1552729.2384515372 | -1468237.4722907308 |  1288672.3523120335 | -1034682.0590171764 |   743759.9423333037 |  -462881.5814627302 |  235660.03867298015 |  -87945.76599168697 |   18187.92017352584 |
|          norm18 | -0.0 | -0.0 | -0.0 | -0.0 |   5359.860261577209 | -27088.818461791074 |   76671.29165917487 |  -161032.6633729826 |   280530.0112011335 |  -429461.4893808128 |   597557.0415715193 |  -771369.7135420335 |   935232.9313703284 | -1071988.1376901385 |  1163975.3058008673 | -1194868.5971168096 |   1152798.435660861 | -1034682.0590153754 |   850650.4676647866 |  -626129.3839181196 |   398515.0587269731 |  -207046.3722876279 |    78644.4999111327 | -16509.531888725356 |
|          norm19 | -0.0 | -0.0 | -0.0 | -0.0 | -3456.1561796515343 |  17493.627666874214 |   -49608.2088252855 |  104446.95923263094 | -182521.40493769193 |  280530.01120148186 | -392298.73530439683 |   509633.2358327081 |  -622847.1669268452 |   721072.8807260917 |  -792654.4820570501 |   826019.0987396481 |  -811420.8441367969 |   743759.9423305808 |  -626129.3839169717 |   472737.3454177999 | -308730.92103020486 |  164392.83115041003 | -63854.677570679174 |  13669.362859883397 |
|          norm20 |  0.0 |  0.0 |  0.0 |  0.0 |   1963.968836060585 |  -9952.371978489275 |  28264.914306854218 |  -59623.63810772836 |  104446.95923325157 | -161032.66337404354 |  226087.11769007205 |  -295195.4565201696 |   363089.9315467456 |  -423763.5150208875 |  470585.14665603265 |  -496637.2123701988 |  495527.02883809526 |  -462881.5814600701 |   398515.0587254801 |  -308730.9210296434 |   207385.3046283187 | -113677.70197304002 |  45410.695324455344 |  -9973.856727862305 |
|          norm21 | -0.0 | -0.0 | -0.0 | -0.0 |  -927.7256953233946 |   4705.490063004898 | -13379.204357883647 |   28264.91430700291 |  -49608.20882585477 |   76671.29166007189 | -107982.24284910031 |  141553.84114687337 | -175001.30579164237 |  205575.98489496557 | -230182.26010159976 |  245476.53468464717 |  -248170.1720870834 |  235660.03867110758 | -207046.37228644828 |  164392.83114982027 |    -113677.70197285 |  64384.899099624155 |  -26623.65303966656 |   6049.531454046368 |
