|                   Parameters |                      0 |                      1 |   2 |                      3 |                      4 |                      5 |   6 |   7 |   8 |   9 |  10 |  11 |  12 |                      13 |                      14 |                      15 |                      16 |                      17 |                      18 |                      19 |                      20 |                      21 |                      22 |                      23 |                      24 |                      25 |                      26 |                      27 |                     28 |                      29 |                      30 |                      31 |                      32 |
|           msh.spectral.index |       81.4463672721231 | -8.801862532488387e-10 | 0.0 |      4.786495613977306 |    0.23094355890690862 |     2.4845499986326964 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|       msh.spectral.amplitude | -8.801862532488387e-10 | 2.2005408773282526e-20 | 0.0 | 1.2363535472147739e-11 | 2.6765820771464676e-11 | 4.1402027418226907e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|       msh.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|            msh.spatial.lon_0 |      4.786495613977306 | 1.2363535472147739e-11 | 0.0 |     23.826356939860634 |     0.2308098512709165 |      2.835810305916142 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|            msh.spatial.lat_0 |    0.23094355890690862 | 2.6765820771464676e-11 | 0.0 |     0.2308098512709165 |     16.907574577119224 |     1.2870214317553066 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|            msh.spatial.sigma |     2.4845499986326964 | 4.1402027418226907e-10 | 0.0 |      2.835810305916142 |     1.2870214317553066 |     18.293200805768045 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|                msh.spatial.e |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|              msh.spatial.phi |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|  sHTeZsSn-bkg.spectral._norm |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|  sHTeZsSn-bkg.spectral.norm0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|  sHTeZsSn-bkg.spectral.norm1 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|  sHTeZsSn-bkg.spectral.norm2 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|  sHTeZsSn-bkg.spectral.norm3 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|  sHTeZsSn-bkg.spectral.norm4 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   2.408181877005291e-05 |   1.763535979007585e-05 |  -4.283825273467093e-06 |  -8.040779866292509e-07 |   1.872105342137523e-06 | -1.3341684872226371e-06 |  4.7136371504425047e-07 |  1.3704880629008304e-07 | -3.7284565957146627e-07 |  3.2357435073944715e-07 | -1.5006130867617427e-07 | -2.0761693261267024e-08 |   1.168160886466299e-07 | -1.2570003021740816e-07 |    6.79314580875317e-08 | 1.8884725731727284e-08 |  -9.656841863249118e-08 |  1.1886239036233841e-07 |  -5.394806171725065e-09 | -4.7154328481958977e-07 |
|  sHTeZsSn-bkg.spectral.norm5 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   1.763535979007585e-05 |  2.6316839321952014e-05 |   7.296484942856253e-06 |  -3.446651725538687e-06 |   9.537486462053144e-07 |  2.8439030598744175e-07 |   -6.32002046656595e-07 |   4.889332301963107e-07 | -1.9863110296839755e-07 |  -4.220061262856723e-08 |  1.5314187830124607e-07 | -1.4777654141762863e-07 |   7.449249534691924e-08 |  1.0592868131178458e-08 |  -6.931358885454074e-08 |  8.050873462623069e-08 |  -3.975761286110604e-08 |  -5.119761285466138e-08 |  1.6175974687035896e-07 |   7.694954462961078e-08 |
|  sHTeZsSn-bkg.spectral.norm6 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -4.283825273467093e-06 |   7.296484942856253e-06 |   1.759425423154039e-05 |  5.0162331374785005e-06 | -2.7753714334072087e-06 |   9.707391056318128e-07 |  1.0569742673081676e-07 |  -5.059903371087156e-07 |  4.6140794881509464e-07 | -2.2825500103758712e-07 | -2.3635379057629405e-09 |  1.3470602869734305e-07 |  -1.536004397215151e-07 |   9.197700222367305e-08 |  1.0427031089194708e-09 | -7.996088966353449e-08 |  1.0899583018536534e-07 |  -5.464973898932149e-08 | -1.2743719589571383e-07 |   3.120185086825487e-07 |
|  sHTeZsSn-bkg.spectral.norm7 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -8.040779866292509e-07 |  -3.446651725538687e-06 |  5.0162331374785005e-06 |  1.2770708083432972e-05 |  3.6647391070510468e-06 | -2.1311396005753847e-06 |   7.990912332933763e-07 |   5.586610530461332e-08 |  -4.064702884610418e-07 |   3.938878680975858e-07 |  -2.063708693609519e-07 |  3.6265619264469892e-09 |  1.2369336995330994e-07 | -1.4932794275430973e-07 |   9.248445628581997e-08 |  7.777447581153242e-09 | -1.0595521363680726e-07 |  1.4927509437672845e-07 |  -3.388000032424808e-08 |  -5.641549909400537e-07 |
|  sHTeZsSn-bkg.spectral.norm8 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   1.872105342137523e-06 |   9.537486462053144e-07 | -2.7753714334072087e-06 |  3.6647391070510468e-06 |  1.0260551513505416e-05 |  2.8776453207545745e-06 | -1.7713665092009146e-06 |   7.217676971186451e-07 |   7.751288118435509e-09 | -3.4233364248561473e-07 |  3.5965685199414054e-07 | -2.0306515340402934e-07 |  1.1511806313009478e-08 |  1.2272993955628585e-07 |  -1.601660162170969e-07 | 1.0291905796438517e-07 |  2.3748076572159023e-08 | -1.7655531819345054e-07 |  2.4439045652540373e-07 |   5.177416731998582e-07 |
|  sHTeZsSn-bkg.spectral.norm9 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.3341684872226371e-06 |  2.8439030598744175e-07 |   9.707391056318128e-07 | -2.1311396005753847e-06 |  2.8776453207545745e-06 |   8.803424229662135e-06 |   2.481564439084323e-06 | -1.6021077168380662e-06 |   6.924826553769374e-07 | -1.4676953292530632e-08 | -3.2379174291235585e-07 |   3.610380091255903e-07 |  -2.136014725150811e-07 |   1.181558421048672e-08 |  1.4434740056355575e-07 | -1.967786760516441e-07 |  1.2176823120308007e-07 |    8.63026839467551e-08 |  -3.850506702302714e-07 |   -5.29055572358304e-08 |
| sHTeZsSn-bkg.spectral.norm10 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  4.7136371504425047e-07 |   -6.32002046656595e-07 |  1.0569742673081676e-07 |   7.990912332933763e-07 | -1.7713665092009146e-06 |   2.481564439084323e-06 |   7.966126517922374e-06 |   2.293548950035659e-06 |   -1.52867938452348e-06 |   6.819353680902549e-07 | -1.6555313331311417e-08 |  -3.365735875875475e-07 |   3.867866429550657e-07 | -2.3209936694666596e-07 |  -5.498562525108196e-10 | 1.9783202282149016e-07 |  -2.707780490532658e-07 |   1.367688688034608e-07 |  3.1560188380358005e-07 |   -7.76219097484695e-07 |
| sHTeZsSn-bkg.spectral.norm11 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.3704880629008304e-07 |   4.889332301963107e-07 |  -5.059903371087156e-07 |   5.586610530461332e-08 |   7.217676971186451e-07 | -1.6021077168380662e-06 |   2.293548950035659e-06 |   7.589004923848363e-06 |  2.2324827324704047e-06 | -1.5269139984895652e-06 |   6.962249700167699e-07 |  -9.802819244846881e-09 | -3.7607197433797834e-07 |    4.41170668306195e-07 |   -2.63614391667686e-07 | -3.306736513084889e-08 |  3.1545769780857834e-07 | -4.2850210498495274e-07 |   7.651747791581634e-08 |  1.6396698766735817e-06 |
| sHTeZsSn-bkg.spectral.norm12 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -3.7284565957146627e-07 | -1.9863110296839755e-07 |  4.6140794881509464e-07 |  -4.064702884610418e-07 |   7.751288118435509e-09 |   6.924826553769374e-07 |   -1.52867938452348e-06 |  2.2324827324704047e-06 |   7.593893910951134e-06 |  2.2873550216308944e-06 | -1.6049601262580842e-06 |   7.454493026092893e-07 |  5.8419352520458744e-09 |   -4.56245036827264e-07 |   5.443090883137351e-07 | -3.148326614521511e-07 | -1.2513225587833082e-07 |   6.160163681551114e-07 |  -7.635210624261605e-07 | -1.8694280660216267e-06 |
| sHTeZsSn-bkg.spectral.norm13 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  3.2357435073944715e-07 |  -4.220061262856723e-08 | -2.2825500103758712e-07 |   3.938878680975858e-07 | -3.4233364248561473e-07 | -1.4676953292530632e-08 |   6.819353680902549e-07 | -1.5269139984895652e-06 |  2.2873550216308944e-06 |   7.975057296321968e-06 |  2.4770188755549393e-06 | -1.7841936897914783e-06 |   8.396756523468864e-07 |     4.1900835914651e-08 |  -6.110721478913525e-07 |  7.351841356632158e-07 | -3.7991366739974654e-07 |  -4.279804709618242e-07 |  1.4567195585394674e-06 |   6.152445639245981e-07 |
| sHTeZsSn-bkg.spectral.norm14 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.5006130867617427e-07 |  1.5314187830124607e-07 | -2.3635379057629405e-09 |  -2.063708693609519e-07 |  3.5965685199414054e-07 | -3.2379174291235585e-07 | -1.6555313331311417e-08 |   6.962249700167699e-07 | -1.6049601262580842e-06 |  2.4770188755549393e-06 |   8.819995558406935e-06 |  2.8502288561871857e-06 |  -2.111198922334773e-06 |  1.0004687772338873e-06 |   1.234159487087696e-07 | -9.175710010325534e-07 |  1.1027081880354673e-06 |  -4.050088052101208e-07 | -1.5170882446271652e-06 |  2.7036794623971914e-06 |
| sHTeZsSn-bkg.spectral.norm15 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -2.0761693261267024e-08 | -1.4777654141762863e-07 |  1.3470602869734305e-07 |  3.6265619264469892e-09 | -2.0306515340402934e-07 |   3.610380091255903e-07 |  -3.365735875875475e-07 |  -9.802819244846881e-09 |   7.454493026092893e-07 | -1.7841936897914783e-06 |  2.8502288561871857e-06 |  1.0352603892016041e-05 |   3.520287184197781e-06 | -2.6937212597314196e-06 |  1.2763470247965035e-06 |  3.219809663123364e-07 | -1.6012420913628523e-06 |   1.915053261129838e-06 |   2.755431131978339e-08 |   -7.51235237877924e-06 |
