| modelparameters |                   0 |                   1 |                   2 |                   3 |                   4 |                   5 |                   6 |                   7 |                   8 |                   9 |                  10 |                  11 |                  12 |                  13 |                  14 |                  15 |                  16 |                  17 |                  18 |                  19 |                  20 |                  21 |                  22 |                  23 |
|           norm0 |    1406.14217969865 |  -5592.092826341952 |  12491.027531484118 | -20782.321951139973 |  28818.487695432977 | -35336.179063597796 |   39694.73814070355 |  -41793.40529564585 |   41874.06116898998 |  -40336.04916978268 |   37608.62291313348 |   -34081.3443746669 |  30076.680845454164 | -25848.003315490823 |  21590.331295631724 | -17455.705706923618 |   13568.33214461322 | -10036.401543733506 |   6958.106212172029 |  -4419.458223311948 |  2482.0943970669323 |  -1161.846545058567 |  405.08984547554905 |  -79.32911333751073 |
|           norm1 |  -5592.092826342227 |  23640.884527653125 |  -55244.85983818164 |   95074.78536038942 | -135250.65828530086 |  169097.76001698486 |  -192805.8028323723 |   205336.8947217705 | -207557.06467335974 |   201301.8834639965 | -188683.89874854923 |   171688.6220233098 | -151996.61436955354 |  130948.97749609001 | -109588.95052969448 |   88734.39752764996 |  -69053.29075473927 |  51124.317628583194 |  -35468.69990533574 |   22540.33764600483 | -12664.682186345242 |  5930.1884990974095 |  -2068.154526252797 |  405.08984547500745 |
|           norm2 |  12491.027531499403 |  -55244.85983825555 |  134484.34919242354 |  -239523.4535413974 |  350359.81781577633 |  -447875.4513075876 |   519709.1106414019 |  -561173.1978951112 |    573403.271512426 |  -560841.0915120929 |   529166.5381942341 | -483988.49397985026 |  430200.80929575756 |  -371790.9701432394 |  311905.46614320873 | -253031.04304992026 |  197201.13411047155 | -146168.45412190433 |   101498.9966228675 |  -64547.72734290509 |   36287.05046138703 |  -16998.48973567631 |   5930.188499084808 |  -1161.846545054551 |
|           norm3 | -20782.321951145583 |   95074.78536041058 | -239523.45354101437 |   440680.2833585892 |  -663400.4165034648 |   868965.3529248894 | -1028801.4685463777 |  1129109.2539380747 |   -1168847.09680427 |  1155133.8535904954 | -1098844.9069033647 |  1011520.3625312233 |  -903660.6902304138 |    784065.618732167 |  -659814.3103504116 |    536566.813384051 |  -418967.4732578129 |   311003.4272703924 | -216208.60406182334 |  137620.08510010643 |  -77420.55398231809 |   36287.05046127294 | -12664.682186278456 |  2482.0943970505377 |
|           norm4 |  28818.487695448945 |  -135250.6582853747 |  350359.81781522237 |  -663400.4165037434 |  1026925.7230727201 |  -1379804.307638828 |  1670215.5127321861 | -1867629.4741331167 |  1963355.7847856884 |  -1964710.590148966 |  1887801.1550350643 | -1751706.0702218118 |  1574842.6973768093 | -1373248.5178803594 |  1160167.3758423708 |  -946363.6822963947 |   740730.6913152714 |  -550887.8010482424 |   383539.4855682138 | -244409.42964805878 |  137620.08509951824 |    -64547.727342427 |  22540.337645790125 |  -4419.458223264009 |
|           norm5 | -35336.179063529744 |  169097.76001663806 | -447875.45130545314 |   868965.3529226928 | -1379804.3076342582 |  1901029.3219255875 |  -2355459.070601126 |   2688934.541609701 | -2877274.6344050933 |   2922133.007587968 | -2841952.9373863717 |  2663021.7069505737 |  -2412999.329763797 |  2117283.2889897004 | -1797608.2188084773 |  1472052.2368679703 | -1155725.4058133534 |   861588.9344056953 |  -600984.9044337004 |  383539.48556614795 | -216208.60405974014 |  101498.99662157525 |  -35468.69990481045 |  6958.1062120600745 |
|           norm6 |   39694.73814046493 | -192805.80283117952 |   519709.1106364552 |  -1028801.468539332 |  1670215.5127189376 | -2355459.0705907117 |   2987162.015989117 |  -3485603.627866262 |  3803878.6911017597 |  -3929565.274899436 |  3876970.0356175043 | -3676148.0171882138 |  3363241.9581623813 | -2974029.4448678684 |  2540667.0427316134 |  -2090777.116438366 |  1647871.7449305418 | -1232239.2745190305 |   861588.9344002854 |  -550887.8010418398 |  311003.42726547655 | -146168.45411915152 |   51124.31762751757 | -10036.401543512087 |
|           norm7 | -41793.405295103235 |  205336.89471906875 |  -561173.1978854834 |  1129109.2539224355 | -1867629.4741047241 |  2688934.5415792633 |  -3485603.627842767 |   4157711.761096934 |  -4633341.319797757 |  4878157.2390334215 | -4893268.0959648695 |   4705445.644033251 |  -4355414.509605621 |   3888240.092668421 | -3347304.8025858826 |  2771585.7946131118 |  -2195177.592028723 |   1647871.744919388 | -1155725.4057983537 |   740730.6913017795 |  -418967.4732484796 |    197201.134105505 |  -69053.29075286858 |  13568.332144230391 |
|           norm8 |   41874.06116805273 | -207557.06466870333 |   573403.2714969143 | -1168847.0967776836 |  1963355.7847382282 | -2877274.6343489126 |    3803878.69104717 |   -4633341.31976494 |   5273770.566469048 |  -5666088.504273628 |   5789786.950726621 | -5658773.9033123655 |   5310891.089035514 |  -4796290.176584962 |   4168288.989369443 | -3477909.2169683953 |  2771585.7945945975 |  -2090777.116410449 |    1472052.23683941 |  -946363.6822732607 |   536566.8133688616 | -253031.04304206895 |   88734.39752474206 | -17455.705706334273 |
|           norm9 |   -40336.0491682814 |  201301.88345653279 |  -560841.0914883489 |   1155133.853548063 | -1964710.5900739548 |   2922133.007492871 |  -3929565.274795054 |   4878157.238942977 |  -5666088.504209299 |   6214141.476045243 |    -6476894.7014805 |   6446556.697420396 |  -6148173.053455556 |  5629274.5508738095 |  -4948752.434043436 |    4168288.98934381 |  -3347304.802543342 |   2540667.042682917 |  -1797608.218763641 |   1160167.375807926 |  -659814.3103284626 |   311905.4661320653 | -109588.95052561269 |  21590.331294810298 |
|          norm10 |   37608.62291102283 | -188683.89873804507 |   529166.5381616883 | -1098844.9068438371 |  1887801.1549303941 |  -2841952.937248759 |  3876970.0354577913 | -4893268.0958088515 |   5789786.950586985 |  -6476894.701401745 |   6888515.750069176 |  -6991554.942965441 |   6789179.976501889 |  -6316207.479129714 |   5629274.550844326 | -4796290.1765309535 |   3888240.092600098 |  -2974029.444797416 |   2117283.288928151 |  -1373248.517834478 |   784065.6187034677 |   -371790.970128842 |   130948.9774908577 |  -25848.00331444326 |
|          norm11 |  -34081.34437193839 |  171688.62200970988 |  -483988.4939384357 |  1011520.3624542475 |  -1751706.070086818 |   2663021.706768603 |  -3676148.016969475 |    4705445.64380521 |  -5658773.903087196 |   6446556.697247751 |  -6991554.942866148 |    7239418.21632917 |  -7167662.007222266 |   6789179.976473057 |  -6148173.053397926 |  5310891.0889550345 |   -4355414.50951375 |   3363241.958072433 | -2412999.3296875195 |   1574842.697321001 |  -903660.6901959393 |    430200.809278615 |  -151996.6143633638 |  30076.680844220922 |
|          norm12 |  30076.680842246034 |  -151996.6143535321 |   430200.8092474736 |  -903660.6901398652 |     1574842.6972182 |   -2412999.32954672 |  3363241.9578962107 |   -4355414.50931872 |   5310891.088738575 |  -6148173.053201759 |   6789179.976313981 |   -7167662.00713074 |   7239418.216304577 |  -6991554.942912613 |   6446556.697339951 |  -5658773.903211006 |   4705445.643923304 |  -3676148.017083691 |   2663021.706863574 |  -1751706.070158969 |  1011520.3624927653 |  -483988.4939608653 |   171688.6220164949 |  -34081.34437331561 |
|          norm13 | -25848.003312000255 |  130948.97747861897 | -371790.97009092587 |   784065.6186335695 | -1373248.5177076822 |   2117283.288750863 | -2974029.4445712585 |  3888240.0923423404 |  -4796290.176237612 |   5629274.550559713 |  -6316207.478872096 |  6789179.9763054475 |  -6991554.942832585 |    6888515.75000741 |  -6476894.701391543 |   5789786.950617621 |  -4893268.095848583 |  3876970.0355081945 |  -2841952.937296168 |  1887801.1549703758 | -1098844.9068640352 |   529166.5381749378 | -188683.89874166393 |   37608.62291177628 |
